# from Brown et al. (1988) only levels not in Nave et al. (1994)
# corresponding to 10 levels in third page and all levels in last page of Table 3  
#E[cm⁻¹]      g  configuration 
  63536.03    5  63536e
  63487.90    7  63487e
  63338.00    7  63338e
  63246.91    9  63246e
  63109.90    7  63109e
  63081.89    7  63081e
  63016.01    9  63016e
  62966.48    9  62966e
  62946.48    3  62946e
  62852.11    3  62852e
  62841.48    5  62841e
  62831.34    5  62831e
  62821.89    9  62821e
  62749.71    7  62749e
  62747.21    9  62747e
  62666.95    3  62666e
  62664.56    5  62664e
  62658.78    7  62658e
  62635.00    7  62635e
  62633.99    9  62633e
  62631.10   11  62631e
  62563.34    3  62563e
  62537.37    9  62537e
  62509.69    7  62509e
  62488.35    5  62488e
  62450.4     5  62450e
  62439.47    5  62439e
  62417.09    3  62417e
  62407.66    5  62407e
  62391.06    5  62391e
  62386.95   12  62386e    #originally 5,7
  62376.90    9  62376e
  62373.23    7  62373e
  62363.37    9  62363e
  62331.33    5  62331e
  62326.90    5  62326e
  62306.21    7  62306e
  62287.48    7  62287e
  62273.31    5  62273e
  62268.57    7  62268e
  62201.86    5  62201e
  62198.75    3  62198e
  62141.27    7  62141e
  62139.96    7  62139e
  62114.60    7  62114e
  62103.80    3  62103e
  62087.88   16  62087e    #originally 7,9
  62074.35    5  62074e
  62072.45    9  62072e
  62053.99   16  62053e    #originally 7,9
  62047.64    9  62047e
  62046.50    5  62046e
  62016.90    7  62016e
  62005.52    9  62005e
  62002.63    7  62002e
  61998.48    9  61998e
  61992.97   11  61992e
  61866.38    5  61866e
  61857.04    9  61857e
  61846.96    7  61846e
  61836.94    9  61836e
  61770.96    7  61770e
  61726.61    9  61726e
  61678.19    9  61678e
  61655.10    3  61655e
  61621.19    3  61621e
  61547.53    5  61547e
  61476.75    7  61476e
  61471.30    7  61471e
  61467.66    9  61467e
  61458.58   11  61458e
  61431.96    5  61431e
  61424.36    7  61424e
  61412.65    8  61412e    #originally 3,5
  61351.64    7  61351e
  61285.48    5  61285e
  61266.96    3  61266e
  61250.33    7  61250e
  61232.88    9  61232e
  61208.16    5  61208e
  61173.77    9  61173e
  61155.88   11  61155e
  61155.56    3  61155e
  61113.39    9  61113e
  61075.10    3  61075e
  61036.04    7  61036e
  61023.26    5  61023e
  61012.22    7  61012e
  60977.56    9  60977e
  60908.23    9  60908e
  60668.01    9  60668e
  60628.78    9  60628e
  60616.15   11  60616e
  60431.44    5  60431e
  60375.67    3  60375e
  60336.14    3  60336e
  60253.27    3  60253e
  60237.74    5  60237e
  60169.31    3  60169e
  60141.45    3  60141e
  60099.96    7  60099e
  60055.90    7  60055e
  60013.25    7  60013e
  60000.62    5  60000e
  59907.00    5  59907e
  59875.79    7  59875e
  59830.12    3  59830e
  59804.55    9  59804e
  59761.65    3  59761e
  59731.24    9  59731e
  59703.05    3  59703e
  59697.70    5  59697e
  59692.96    9  59692e
  59595.15    9  59595e
  59580.39    7  59580e
  59531.13    5  59531e
  59503.3     7  59503e
  59496.6     9  59496e
  59438.65    7  59438e
  59377.28    9  59377e
  59343.76    3  59343e
  59317.84    9  59317e
  59203.54    7  59203e
  59021.26   11  59021e
  58744.75    9  58744e
  58729.74    9  58729e
  58278.60    3  58278e
  57223.65    5  57223e
  57140.40    7  57140e
  59418.8     7  3d7.(4F).6p  3D*
  57147.762   9  57147e 
