 Nave, G., Johansson, S., Learner, R.C.M., Thorne, A.P., Brault, J.W. 1994.
  ApJSupp 94, 221-459.
 Schoenfeld, W.G., Chang, E.S., Geller, M., Johansson, S., Nave, G.,
  Sauval, A.J., and Grevesse, N. 1995. A&A, 301, 593-601.
   4.0  60754.71 ?    d6(1D)4s4p(1P) 3F   1Dsp1P 3F    not in Nave
   3.0     53773.590             d6(3D)4s4p(3P)4p 5F      3Dsp3P 5F  typo 
       in Sugar and Corliss 53733.583

   4.0         0.000     1.50020 3d6 4s2 a5D              4s2 a5D
   3.0       415.933     1.50034 3d6 4s2 a5D              4s2 a5D
   2.0       704.007     1.50041 3d6 4s2 a5D              4s2 a5D
   1.0       888.132     1.50022 3d6 4s2 a5D              4s2 a5D
   0.0       978.074             3d6 4s2 a5D              4s2 a5D
   5.0      6928.268     1.400   3d7(4F)4s a5F            (4F)4s a5F
   4.0      7376.764     1.35004 3d7(4F)4s a5F            (4F)4s a5F
   3.0      7728.059     1.24988 3d7(4F)4s a5F            (4F)4s a5F
   2.0      7985.784     0.99953 3d7(4F)4s a5F            (4F)4s a5F
   1.0      8154.713    -0.014   3d7(4F)4s a5F            (4F)4s a5F
   4.0     11976.238     1.254   3d7(4F)4s a3F            (4F)4s a3F
   3.0     12560.933     1.086   3d7(4F)4s a3F            (4F)4s a3F
   2.0     12968.553     0.670   3d7(4F)4s a3F            (4F)4s a3F
   3.0     17550.180     1.666   3d7(4P)4s a5P            (4P)4s a5P
   2.0     17726.987     1.820   3d7(4P)4s a5P            (4P)4s a5P
   1.0     17927.381     2.499   3d7(4P)4s a5P            (4P)4s a5P
   2.0     18378.185     1.506   3d6 4s2 a3P              4s2 a3P
   5.0  @  19350.890     1.597   d6(5D)4s4p(3P) z7D       5Dsp3P z7D
   6.0     19390.167     1.163   3d6 4s2 a3H              4s2 a3H
   1.0     19552.477     1.500   3d6 4s2 a3P              4s2 a3P
   4.0  @  19562.438     1.642   d6(5D)4s4p(3P) z7D       5Dsp3P z7D
   5.0     19621.005     1.038   3d6 4s2 a3H              4s2 a3H
   3.0  @  19757.031     1.746   d6(5D)4s4p(3P) z7D       5Dsp3P z7D
   4.0     19788.250     0.811   3d6 4s2 a3H              4s2 a3H
   2.0  @  19912.494     2.008   d6(5D)4s4p(3P) z7D       5Dsp3P z7D
   1.0  @  20019.634     2.999   d6(5D)4s4p(3P) z7D       5Dsp3P z7D
   0.0     20037.815             3d6 4s2 a3P              4s2 a3P
   4.0     20641.109     1.235   3d6 4s2 b3F              4s2 b3F
   3.0     20874.481     1.073   3d6 4s2 b3F              4s2 b3F
   2.0     21038.986     0.663   3d6 4s2 b3F              4s2 b3F
   5.0     21715.731     1.197   3d7(2G)4s a3G            (2G)4s a3G
   4.0     21999.129     1.051   3d7(2G)4s a3G            (2G)4s a3G
   3.0     22249.428     0.756   3d7(2G)4s a3G            (2G)4s a3G
   6.0  @  22650.414     1.498   d6(5D)4s4p(3P) z7F       5Dsp3P z7F
   2.0     22838.321     1.498   3d7(4P)4s b3P            (4P)4s b3P
   5.0  @  22845.867     1.498   d6(5D)4s4p(3P) z7F       5Dsp3P z7F
   1.0     22946.814     1.489   3d7(4P)4s b3P            (4P)4s b3P
   4.0  @  22996.672     1.493   d6(5D)4s4p(3P) z7F       5Dsp3P z7F
   0.0     23051.748             3d7(4P)4s b3P            (4P)4s b3P
   3.0  @  23110.937     1.513   d6(5D)4s4p(3P) z7F       5Dsp3P z7F
   2.0  @  23192.498     1.504   d6(5D)4s4p(3P) z7F       5Dsp3P z7F
   1.0  @  23244.836     1.549   d6(5D)4s4p(3P) z7F       5Dsp3P z7F
   0.0  @  23270.382             d6(5D)4s4p(3P) z7F       5Dsp3P z7F
   4.0  @  23711.454     1.747   d6(5D)4s4p(3P) z7P       5Dsp3P z7P
   5.0     23783.617     1.200   3d6 4s2 b3G              4s2 b3G
   4.0     24118.817     1.048   3d6 4s2 b3G              4s2 b3G
   3.0  @  24180.860     1.908   d6(5D)4s4p(3P) z7P       5Dsp3P z7P
   2.0     24335.764     1.484   3d7(2P)4s c3P            (2P)4s c3P
   3.0     24338.765     0.761   3d6 4s2 b3G              4s2 b3G
   2.0  @  24506.915     2.333   d6(5D)4s4p(3P) z7P       5Dsp3P z7P
   4.0     24574.653     1.001   3d7(2G)4s a1G            (2G)4s a1G
   1.0     24772.016     1.466   3d7(2P)4s c3P            (2P)4s c3P
   0.0     25091.597             3d7(2P)4s c3P            (2P)4s c3P
   4.0  @  25899.987     1.502   d6(5D)4s4p(3P) z5D       5Dsp3P z5D
   6.0     26105.906     1.165   3d7(2H)4s b3H            (2H)4s b3H
   3.0  @  26140.177     1.500   d6(5D)4s4p(3P) z5D       5Dsp3P z5D
   3.0     26224.967     1.335   3d7(a2D)4s a3D           a2D)4s a3D
   2.0  @  26339.694     1.503   d6(5D)4s4p(3P) z5D       5Dsp3P z5D
   5.0     26351.038     1.032   3d7(2H)4s b3H            (2H)4s b3H
   1.0     26406.463     0.731   3d7(a2D)4s a3D           a2D)4s a3D
   1.0  @  26479.379     1.495   d6(5D)4s4p(3P) z5D       5Dsp3P z5D
   0.0  @  26550.477             d6(5D)4s4p(3P) z5D       5Dsp3P z5D
   2.0     26623.733     1.178   3d7(a2D)4s a3D           a2D)4s a3D
   4.0     26627.607     0.811   3d7(2H)4s b3H            (2H)4s b3H
   5.0  @  26874.548     1.399   d6(5D)4s4p(3P) z5F       5Dsp3P z5F
   4.0  @  27166.818     1.355   d6(5D)4s4p(3P) z5F       5Dsp3P z5F
   3.0  @  27394.689     1.250   d6(5D)4s4p(3P) z5F       5Dsp3P z5F
   1.0     27543.001     0.817   3d7(2P)4s a1P            (2P)4s a1P
   2.0  @  27559.581     1.004   d6(5D)4s4p(3P) z5F       5Dsp3P z5F
   1.0  @  27666.346    -0.012   d6(5D)4s4p(3P) z5F       5Dsp3P z5F
   2.0     28604.611     1.028   3d7(a2D)4s a1D           a2D)4s a1D
   5.0     28819.952     1.000   3d7(2H)4s a1H            (2H)4s a1H
   3.0  @  29056.322     1.657   d6(5D)4s4p(3P) z5P       5Dsp3P z5P
   6.0     29313.006     1.014   3d6 4s2 a1I              4s2 a1I
   1.0     29320.024             3d6 4s2 b3D              4s2 b3D
   2.0     29356.742             3d6 4s2 b3D              4s2 b3D
   3.0     29371.810     1.326   3d6 4s2 b3D              4s2 b3D
   2.0  @  29469.022     1.835   d6(5D)4s4p(3P) z5P       5Dsp3P z5P
   1.0  @  29732.734     2.487   d6(5D)4s4p(3P) z5P       5Dsp3P z5P
   4.0     29798.934     0.979   3d6 4s2 b1G              4s2 b1G
   4.0  @  31307.243     1.250   d6(5D)4s4p(3P) z3F       5Dsp3P z3F
   3.0  @  31322.611     1.321   d6(5D)4s4p(3P) z3D       5Dsp3P z3D
   2.0  @  31686.349     1.168   d6(5D)4s4p(3P) z3D       5Dsp3P z3D
   3.0  @  31805.069     1.086   d6(5D)4s4p(3P) z3F       5Dsp3P z3F
   1.0  @  31937.323     0.513   d6(5D)4s4p(3P) z3D       5Dsp3P z3D
   2.0  @  32133.989     0.682   d6(5D)4s4p(3P) z3F       5Dsp3P z3F
   4.0     32873.630     1.264   3d8 c3F                  3d8 c3F
   4.0  @  33095.939     1.496   d7(4F)4p y5D             (4F)4p y5D
   3.0     33412.715     1.066   3d8 c3F                  3d8 c3F
   3.0  @  33507.121     1.492   d7(4F)4p y5D             (4F)4p y5D
   5.0  @  33695.395     1.417   d7(4F)4p y5F             (4F)4p y5F
   2.0     33765.304     0.677   3d8 c3F                  3d8 c3F
   2.0  @  33801.570     1.495   d7(4F)4p y5D             (4F)4p y5D
   2.0  @  33946.931     1.493   d6(5D)4s4p(3P) z3P       5Dsp3P z3P
   1.0  @  34017.101     1.492   d7(4F)4p y5D             (4F)4p y5D
   4.0  @  34039.514     1.344   d7(4F)4p y5F             (4F)4p y5F
   0.0  @  34121.601             d7(4F)4p y5D             (4F)4p y5D
   3.0  @  34328.750     1.244   d7(4F)4p y5F             (4F)4p y5F
   1.0  @  34362.871     1.496   d6(5D)4s4p(3P) z3P       5Dsp3P z3P
   2.0  @  34547.209     0.998   d7(4F)4p y5F             (4F)4p y5F
   0.0  @  34555.595             d6(5D)4s4p(3P) z3P       5Dsp3P z3P
   2.0     34636.790             3d6 4s2 b1D              4s2 b1D
   1.0  @  34692.146    -0.016   d7(4F)4p y5F             (4F)4p y5F
   5.0  @  34782.419     1.218   d7(4F)4p z5G             (4F)4p z5G
   6.0  @  34843.955     1.332   d7(4F)4p z5G             (4F)4p z5G
   4.0  @  35257.322     1.103   d7(4F)4p z5G             (4F)4p z5G
   5.0  @  35379.206     1.248   d7(4F)4p z3G             (4F)4p z3G
   3.0  @  35611.623     0.887   d7(4F)4p z5G             (4F)4p z5G
   4.0  @  35767.562     1.100   d7(4F)4p z3G             (4F)4p z3G
   2.0  @  35856.400     0.335   d7(4F)4p z5G             (4F)4p z5G
   3.0  @  36079.370     0.791   d7(4F)4p z3G             (4F)4p z3G
   4.0  @  36686.174     1.246   d7(4F)4p y3F             (4F)4p y3F
   3.0  @  36766.964     1.661   d6(5D)4s4p(1P) y5P       5Dsp1P y5P
   2.0     36940.588             3d7(2F)4s d3F            (2F)4s d3F
   3.0     36975.586             3d7(2F)4s d3F            (2F)4s d3F
   4.0     37045.932             3d7(2F)4s d3F            (2F)4s d3F
