#E[cm⁻¹]         g  cfg   term p ref
      0.0000     2  3p6.4s  2S  e NIST  
  12985.185724   2  3p6.4p  2P* o NIST
  13042.896027   4  3p6.4p  2P* o NIST
  21026.551      2  3p6.5s  2S  e NIST  
  21534.680      6  3p6.3d  2D  e NIST  
  21536.988      4  3p6.3d  2D  e NIST 
  24701.382      2  3p6.5p  2P* o NIST
  24720.139      4  3p6.5p  2P* o NIST
  27397.077      6  3p6.4d  2D  e NIST  
  27398.147      4  3p6.4d  2D  e NIST 
  27450.7104     2  3p6.6s  2S  e NIST  
  28127.85       8  3p6.4f  2F* o NIST
  28127.85       6  3p6.4f  2F* o NIST
  28999.27       2  3p6.6p  2P* o NIST
  29007.71       4  3p6.6p  2P* o NIST
  30185.2439     6  3p6.5d  2D  e NIST  
  30185.7476     4  3p6.5d  2D  e NIST  
  30274.2487     2  3p6.7s  2S  e NIST  
  30606.73       8  3p6.5f  2F* o NIST
  30606.73       6  3p6.5f  2F* o NIST
  30617.31       8  3p6.5g  2G  e NIST  
  30617.31      10  3p6.5g  2G  e NIST  
  31069.90       2  3p6.7p  2P* o NIST
  31074.40       4  3p6.7p  2P* o NIST
  31695.9005     6  3p6.6d  2D  e NIST  
  31696.1661     4  3p6.6d  2D  e NIST  
  31765.3767     2  3p6.8s  2S  e NIST  
  31953.17       8  3p6.6f  2F* o NIST
  31953.17       6  3p6.6f  2F* o NIST
  31960.0        8  3p6.6g  2G  e PARK71
  31960.0       10  3p6.6g  2G  e PARK71
  31962.0       10  3p6.6h  2H* o PARK71
  31962.0       12  3p6.6h  2H* o PARK71
  32227.44       2  3p6.8p  2P* o NIST
  32230.11       4  3p6.8p  2P* o NIST
  32598.2881     6  3p6.7d  2D  e NIST  
  32598.4437     4  3p6.7d  2D  e NIST 
  32648.3511     2  3p6.9s  2S  e NIST  
  32764.80       6  3p6.7f  2F* o NIST
  32764.80       8  3p6.7f  2F* o NIST
  32940.2030     2  3p6.9p  2P* o NIST
  32941.9262     4  3p6.9p  2P* o NIST
  33178.1339     6  3p6.8d  2D  e NIST  
  33178.2324     4  3p6.8d  2D  e NIST  
  33214.2267     2  3p6.10s 2S  e NIST 
  33291.40       6  3p6.8f  2F* o NIST
  33291.40       8  3p6.8f  2F* o NIST
  33410.2306     2  3p6.10p 2P* o NIST
  33411.3986     4  3p6.10p 2P* o NIST
  33572.0592     6  3p6.9d  2D  e NIST 
  33572.1249     4  3p6.9d  2D  e NIST 
  33598.5597     2  3p6.11s 2S  e NIST 
  33652.32       6  3p6.9f  2F* o NIST
  33652.32       8  3p6.9f  2F* o NIST
  33736.4979     2  3p6.11p 2P* o NIST
  33737.3284     4  3p6.11p 2P* o NIST
  33851.5956     6  3p6.10d 2D  e NIST 
  33851.6418     4  3p6.10d 2D  e NIST 
  33871.4788     2  3p6.12s 2S  e NIST 
  33910.42       8  3p6.10f 2F* o NIST
  33910.42       6  3p6.10f 2F* o NIST
  33972.2064     2  3p6.12p 2P* o NIST
  33972.8148     4  3p6.12p 2P* o NIST
  34057.0051     6  3p6.11d 2D  e NIST 
  34057.0385     4  3p6.11d 2D  e NIST 
  34072.2393     2  3p6.13s 2S  e NIST 
  34101.36       8  3p6.11f 2F* o NIST
  34101.36       6  3p6.11f 2F* o NIST
  34148.0284     2  3p6.13p 2P* o NIST
  34148.4861     4  3p6.13p 2P* o NIST
  34212.3139     6  3p6.12d 2D  e NIST 
  34212.3393     4  3p6.12d 2D  e NIST 
  34224.2113     2  3p6.14s 2S  e NIST 
  34246.37       6  3p6.12f 2F* o NIST
  34246.37       8  3p6.12f 2F* o NIST
  34282.6573     2  3p6.14p 2P* o NIST
  34283.0181     4  3p6.14p 2P* o NIST
  34332.5627     6  3p6.13d 2D  e NIST 
  34332.5823     4  3p6.13d 2D  e NIST 
  34342.0150     2  3p6.15s 2S  e NIST 
  34359.36       8  3p6.13f 2F* o NIST
  34359.36       6  3p6.13f 2F* o NIST
  34388.0315     2  3p6.15p 2P* o NIST
  34388.3148     4  3p6.15p 2P* o NIST
  34427.5513     6  3p6.14d 2D  e NIST 
  34427.5667     4  3p6.14d 2D  e NIST 
  34435.1762     2  3p6.16s 2S  e NIST 
  34448.98       6  3p6.14f 2F* o NIST
  34448.98       8  3p6.14f 2F* o NIST
  34472.0505     2  3p6.16p 2P* o NIST
  34472.2798     4  3p6.16p 2P* o NIST
  34503.8844     6  3p6.15d 2D  e NIST 
  34503.8967     4  3p6.15d 2D  e NIST 
  34510.1190     2  3p6.17s 2S  e NIST 
  34540.1250     2  3p6.17p 2P* o NIST
  34540.3088     4  3p6.17p 2P* o NIST
  34566.1420     6  3p6.16d 2D  e NIST 
  34566.1522     4  3p6.16d 2D  e NIST 
  34571.3017     2  3p6.18s 2S  e NIST 
  34596.0448     2  3p6.18p 2P* o NIST
  34596.1996     4  3p6.18p 2P* o NIST
  34617.5815     6  3p6.17d 2D  e NIST 
  34617.5899     4  3p6.17d 2D  e NIST 
  34621.8976     2  3p6.19s 2S  e NIST 
  34641.5160     2  3p6.19p 2P* o VALD
  34642.6698     4  3p6.19p 2P* o NIST
