#E[cm⁻¹]      g  configuration
      0.000   1  3p6.4s2_1S     
  15157.901   1  3p6.4s.4p_3P*    
  15210.063   3  3p6.4s.4p_3P*
  15315.943   5  3p6.4s.4p_3P*
  20335.360   3  3p6.3d.4s_3D     
  20349.260   5  3p6.3d.4s_3D 
  20371.000   7  3p6.3d.4s_3D 
  21849.634   5  3p6.3d.4s_1D     
  23652.304   3  3p6.4s.4p_1P*    
  31539.495   3  3p6.4s.5s_3S     
  33317.264   1  3p6.4s.5s_1S     
  35730.454   5  3p6.3d.4p_3F*    
  35818.713   7  3p6.3d.4p_3F*
  35896.889   9  3p6.3d.4p_3F*
  35835.413   5  3p6.3d.4p_1D*    
  36547.688   1  3p6.4s.5p_3P*    
  36554.749   3  3p6.4s.5p_3P*
  36575.119   5  3p6.4s.5p_3P*
  36731.615   3  3p6.4s.5p_1P*    
  37298.287   5  3p6.4s.4d_1D     
  37748.197   3  3p6.4s.4d_3D     
  37751.867   5  3p6.4s.4d_3D
  37757.449   7  3p6.4s.4d_3D
  38192.392   3  3p6.3d.4p_3D*    
  38219.118   5  3p6.3d.4p_3D*
  38259.124   7  3p6.3d.4p_3D*
  38417.543   1  3p6.4p2_3P     
  38464.808   3  3p6.4p2_3P
  38551.558   5  3p6.4p2_3P
  39333.382   1  3p6.3d.4p_3P*    
  39335.322   3  3p6.3d.4p_3P*
  39340.080   5  3p6.3d.4p_3P*
  40474.241   3  3p6.4s.6s_3S     
  40537.893   7  3p6.3d.4p_1F*    
  40690.435   1  3p6.4s.6s_1S     
  40719.847   5  3p6.4p2_1D     
  41679.008   3  3p6.4s.6p_1P*    
  41786.276   1  3p6.4p2_1S     
  42170.214   5  3p6.4s.4f_3F*    
  42170.558   7  3p6.4s.4f_3F*
  42171.026   9  3p6.4s.4f_3F*
  42343.587   7  3p6.4s.4f_1F*    
  42514.845   1  3p6.4s.6p_3P*    
  42518.708   3  3p6.4s.6p_3P*
  42526.591   5  3p6.4s.6p_3P*
  42743.002   3  3p6.4s.5d_3D     
  42744.716   5  3p6.4s.5d_3D
  42747.387   7  3p6.4s.5d_3D
  42919.053   5  3p6.4s.5d_1D     
  43474.827   5  3p6.3d2_3F     
  43489.119   7  3p6.3d2_3F
  43508.088   9  3p6.3d2_3F
  43933.477   3  3p6.4s.np_w1P*  
  43980.767   3  3p6.4s.7s_3S     
  44276.538   1  3p6.4s.7s_1S     
  44762.620   5  3p6.4s.5f_3F*    
  44762.839   7  3p6.4s.5f_3F*
  44763.118   9  3p6.4s.5f_3F*
  44804.878   7  3p6.4s.5f_1F*    
  44874.86   11  3p6.4s.5g_3G     
  44875.95    9  3p6.4s.5g_1G     
  44955.67    1  3p6.4s.7p_3P*    
  44957.655   3  3p6.4s.7p_3P*
  44961.757   5  3p6.4s.7p_3P*
  44989.830   5  3p6.4s.6d_1D     
  45049.073   3  3p6.4s.6d_3D     
  45050.419   5  3p6.4s.6d_3D
  45052.374   7  3p6.4s.6d_3D
  45425.358   3  3p6.4s.7p_1P*    
  45738.684   3  3p6.4s.8s_3S     
  45887.200   1  3p6.4s.8s_1S     
  46164.644   5  3p6.4s.6f_3F*    
  46164.785   7  3p6.4s.6f_3F*
  46164.971   9  3p6.4s.6f_3F*
  46182.399   7  3p6.4s.6f_1F*    
  46200.13    5  3p6.4s.7d_1D     
  46284.12    1  3p6.4s.8p_3P*    
  46285.23    3  3p6.4s.8p_3P*
  46287.63    5  3p6.4s.8p_3P*
  46301.973   3  3p6.4s.7d_3D     
  46303.649   5  3p6.4s.7d_3D
  46306.059   7  3p6.4s.7d_3D
  46479.813   3  3p6.4s.8p_1P*    
  46748.283   3  3p6.4s.9s_3S     
  46835.055   1  3p6.4s.9s_1S     
  46948.98    5  3p6.4s.8d_1D     
  47006.194   5  3p6.4s.7f_3F*    
  47006.280   7  3p6.4s.7f_3F
  47006.400   9  3p6.4s.7f_3F
  47015.141   7  3p6.4s.7f_1F*    
  47036.225   3  3p6.4s.8d_3D     
  47040.007   5  3p6.4s.8d_3D 
  47045.241   7  3p6.4s.8d_3D 
  47085.38    3  3p6.4s.9p_3P*    
  47086.99    5  3p6.4s.9p_3P* 
  47184.370   3  3p6.4s.9p_1P*    
  47382.048   3  3p6.4s.10s_3S     
  47437.471   1  3p6.4s.10s_1S     
  47449.083   5  3p6.3d.5s_1D     
  47456.452   3  3p6.3d.5s_3D     
  47466.014   5  3p6.3d.5s_3D
  47475.915   7  3p6.3d.5s_3D
  47550.214   5  3p6.4s.8f_3F*    
  47550.271   7  3p6.4s.8f_3F*
  47550.371   9  3p6.4s.8f_3F*
  47555.23    7  3p6.4s.8f_1F*    
  47604.75    3  3p6.4s.10p_3P*    
  47605.77    5  3p6.4s.10p_3P*
  47662.10    3  3p6.4s.10p_1P*    
  47752.655   3  3p6.4s.9d_3D     
  47757.286   5  3p6.4s.9d_3D
  47765.697   7  3p6.4s.9d_3D
  47806.20    3  3p6.4s.11s_3S     
  47812.39    5  3p6.4s.9d_1D     
  47843.76    1  3p6.4s.11s_1S     
  47921.87    5  3p6.4s.9f_3F*    
  47921.981   7  3p6.4s.9f_3F*
  47922.033   9  3p6.4s.9f_3F*
  47924.947   7  3p6.4s.9f_1F*    
  47960.87    3  3p6.4s.11p_3P*    
  47961.53    5  3p6.4s.11p_3P*
  47997.49    3  3p6.4s.11p_1P*    
  48031.58    3  3p6.4s.10d_3D     
  48033.23    5  3p6.4s.10d_3D
  48036.212   7  3p6.4s.10d_3D
  48083.41    5  3p6.4s.10d_1D     
  48104.02    3  3p6.4s.12s_3S     
  48130.75    1  3p6.4s.12s_1S     
  48187.045   5  3p6.4s.10f_3F*    
  48187.075   7  3p6.4s.10f_3F*
  48187.118   9  3p6.4s.10f_3F*
  48188.990   7  3p6.4s.10f_1F*    
  48202.2     9  3p6.4s.10g_1G     
  48208      11  3p6.4s.10h_1H*    
  48215.81    3  3p6.4s.12p_3P*    
  48216.36    5  3p6.4s.12p_3P*
  48240.53    3  3p6.4s.12p_1P*    
  48258.30    3  3p6.4s.11d_3D     
  48258.84    5  3p6.4s.11d_3D
  48260.29    7  3p6.4s.11d_3D
  48290.85    5  3p6.4s.11d_1D     
  48321.14    3  3p6.4s.13s_3S     
  48340.75    1  3p6.4s.13s_1S     
  48382.70    5  3p6.4s.11f_3F*    
  48382.781   7  3p6.4s.11f_3F*
  48382.801   9  3p6.4s.11f_3F*
  48384.039   7  3p6.4s.11f_1F*    
  48394.3     9  3p6.4s.11g_1G     
  48398.6    11  3p6.4s.11h_1H*    
  48404.57    3  3p6.4s.13p_3P*    
  48404.95    5  3p6.4s.13p_3P*
  48422.09    3  3p6.4s.13p_1P*    
  48433.01    3  3p6.4s.12d_3D     
  48433.46    5  3p6.4s.12d_3D
  48434.47    7  3p6.4s.12d_3D
  48451.73    5  3p6.4s.12d_1D     
  48484.30    3  3p6.4s.14s_3S     
  48499.14    1  3p6.4s.14s_1S     
  48524.093   1  3p6.3d2_3P     
  48537.623   3  3p6.3d2_3P
  48563.522   5  3p6.3d2_3P
  48531.04    7  3p6.4s.12f_3F*    
  48531.04    9  3p6.4s.12f_3F*
  48532.139   7  3p6.4s.12f_1F*    
  48540.1     9  3p6.4s.12g_1G     
  48544.2    11  3p6.4s.12h_1H*    
  48548.30    3  3p6.4s.14p_3P*    
  48548.51    5  3p6.4s.14p_3P*
  48561.10    3  3p6.4s.14p_1P*    
