#E[cm⁻¹]      g  configuration
       0.00   2  3p6.4s_2S 
   13650.19   4  3p6.3d_2D 
   13710.88   6  3p6.3d_2D 
   25191.51   2  3p6.4p_2P*
   25414.40   4  3p6.4p_2P*
   52166.93   2  3p6.5s_2S 
   56839.25   4  3p6.4d_2D 
   56858.46   6  3p6.4d_2D 
   60533.02   2  3p6.5p_2P*
   60611.28   4  3p6.5p_2P*
   68056.91   8  3p6.4f_2F*
   68056.91   6  3p6.4f_2F*
   70677.62   2  3p6.6s_2S 
   72722.23   4  3p6.5d_2D 
   72730.93   6  3p6.5d_2D 
   74484.92   2  3p6.6p_2P*
   74521.75   4  3p6.6p_2P*
   78034.39   6  3p6.5f_2F*
   78034.39   8  3p6.5f_2F*
   78164.72   8  3p6.5g_2G 
   78164.72  10  3p6.5g_2G 
   79448.28   2  3p6.7s_2S 
   80521.53   4  3p6.6d_2D 
   80526.16   6  3p6.6d_2D 
   83458.08   6  3p6.6f_2F*
   83458.08   8  3p6.6f_2F*
   83540.00  10  3p6.6g_2G 
   83540.00   8  3p6.6g_2G 
   84300.89   2  3p6.8s_2S 
   84933.65   4  3p6.7d_2D 
   84936.41   6  3p6.7d_2D 
   86727.06   8  3p6.7f_2F*
   86727.06   6  3p6.7f_2F*
   86781.14   8  3p6.7g_2G 
   86781.14  10  3p6.7g_2G 
   87267.86   2  3p6.9s_2S 
   87671.93   4  3p6.8d_2D 
   87673.72   6  3p6.8d_2D 
   88847.31   6  3p6.8f_2F*
   88847.31   8  3p6.8f_2F*
   88884.54  10  3p6.8g_2G 
   88884.54   8  3p6.8g_2G 
   88890.64  12  3p6.8h_2H*
   88890.64  10  3p6.8h_2H*
   89214.13   2  3p6.10s_2S 
   89487.93   4  3p6.9d_2D 
   89489.13   6  3p6.9d_2D 
   90300.0    8  3p6.9f_2F*
   90300.0    6  3p6.9f_2F*
   90326.45   8  3p6.9g_2G 
   90326.45  10  3p6.9g_2G
   90753.92   4  3p6.10d_2D 
   90754.80   6  3p6.10d_2D 
   91338.0    8  3p6.10f_2F*
   91338.0    6  3p6.10f_2F*
   91361.00  12  3p6.10h_2H*
   91361.00  10  3p6.10h_2H*
   91672.0    6  3p6.11d_2D 
   91672.0    4  3p6.11d_2D
   92359.0    4  3p6.12d_2D 
   92359.0    6  3p6.12d_2D
   92883.0    4  3p6.13d_2D 
   92883.0    6  3p6.13d_2D
   93297.6    6  3p6.14d_2D 
   93297.6    4  3p6.14d_2D
   93626.9    4  3p6.15d_2D 
   93626.9    6  3p6.15d_2D
   93894.5    4  3p6.16d_2D 
   93894.5    6  3p6.16d_2D
   95751.87   1  3p6_1S
  227444      4  3p5.4s2_2P*
  230224      2  3p5.4s2_2P*
