#E[cm⁻¹]      g  cfg_term     
     0.000    9  3d6.4s2_a5D    
   415.933    7  3d6.4s2_a5D
   704.007    5  3d6.4s2_a5D
   888.132    3  3d6.4s2_a5D
   978.074    1  3d6.4s2_a5D
  6928.268   11  3d7.(4F).4s_a5F    
  7376.764    9  3d7.(4F).4s_a5F    
  7728.060    7  3d7.(4F).4s_a5F    
  7985.785    5  3d7.(4F).4s_a5F    
  8154.714    3  3d7.(4F).4s_a5F    
 11976.239    9  3d7.(4F).4s_a3F    
 12560.934    7  3d7.(4F).4s_a3F
 12968.554    5  3d7.(4F).4s_a3F
 17550.181    7  3d7.(4P).4s_a5P    
 17726.988    5  3d7.(4P).4s_a5P
 17927.382    3  3d7.(4P).4s_a5P
 18378.186    5  3d6.4s2_a3P   
 19552.478    3  3d6.4s2_a3P
 20037.816    1  3d6.4s2_a3P
 19350.891   11  3d6.(5D).4s.4p.(3P*)_z7D*   
 19562.439    9  3d6.(5D).4s.4p.(3P*)_z7D*
 19757.032    7  3d6.(5D).4s.4p.(3P*)_z7D*
 19912.495    5  3d6.(5D).4s.4p.(3P*)_z7D*
 20019.635    3  3d6.(5D).4s.4p.(3P*)_z7D*
 19390.168   13  3d6.4s2_a3H    
 19621.006   11  3d6.4s2_a3H
 19788.251    9  3d6.4s2_a3H
 20641.110    9  3d6.4s2_b3F   
 20874.482    7  3d6.4s2_b3F
 21038.987    5  3d6.4s2_b3F
 21715.732   11  3d7.(2G).4s_a3G    
 21999.130    9  3d7.(2G).4s_a3G
 22249.429    7  3d7.(2G).4s_a3G
 22650.416   13  3d6.(5D).4s.4p.(3P*)_z7F*   
 22845.869   11  3d6.(5D).4s.4p.(3P*)_z7F*
 22996.674    9  3d6.(5D).4s.4p.(3P*)_z7F*
 23110.939    7  3d6.(5D).4s.4p.(3P*)_z7F*
 23192.500    5  3d6.(5D).4s.4p.(3P*)_z7F*
 23244.838    3  3d6.(5D).4s.4p.(3P*)_z7F*
 23270.384    1  3d6.(5D).4s.4p.(3P*)_z7F*
 22838.323    5  3d7.(4P).4s_b3P    
 22946.816    3  3d7.(4P).4s_b3P
 23051.750    1  3d7.(4P).4s_b3P
