#E[cm⁻¹]      g  configuration
     0.0000  10  3d6.(5D).4s_a6D  
   384.7872   8  3d6.(5D).4s_a6D
   667.6829   6  3d6.(5D).4s_a6D
   862.6118   4  3d6.(5D).4s_a6D
   977.0498   2  3d6.(5D).4s_a6D
  1872.5998  10  3d7_a4F  
  2430.1369   8  3d7_a4F
  2837.9807   6  3d7_a4F
  3117.4877   4  3d7_a4F
  7955.3186   8  3d6.(5D).4s_a4D  
  8391.9554   6  3d6.(5D).4s_a4D
  8680.4706   4  3d6.(5D).4s_a4D
  8846.7837   2  3d6.(5D).4s_a4D
 13474.4474   6  3d7_a4P  
 13673.2045   4  3d7_a4P
 13904.8604   2  3d7_a4P
 15844.6485  10  3d7_a2G  
 16369.4098   8  3d7_a2G
 18360.6399   4  3d7_a2P  
 18886.773    2  3d7_a2P
 20340.2461  12  3d7_a2H  
 20805.7632  10  3d7_a2H
 20516.9534   6  3d7_a2D 
 21307.999    4  3d7_a2D 
 20830.5534   6  3d6.(3P2).4s_b4P  
 21812.0454   4  3d6.(3P2).4s_b4P
 22409.8178   2  3d6.(3P2).4s_b4P
 21251.5833  14  3d6.(3H).4s_a4H  
 21430.3564  12  3d6.(3H).4s_a4H
 21581.6151  10  3d6.(3H).4s_a4H
 21711.8963   8  3d6.(3H).4s_a4H
 22637.1950  10  3d6.(3F2).4s_b4F  
 22810.3459   8  3d6.(3F2).4s_b4F 
 22939.3512   6  3d6.(3F2).4s_b4F 
 23031.2829   4  3d6.(3F2).4s_b4F 
 23317.6351   6  3d5.4s2_a6S  
 25428.7893  12  3d6.(3G).4s_a4G  
 25805.3270  10  3d6.(3G).4s_a4G
 25981.6451   8  3d6.(3G).4s_a4G
 26055.4120   6  3d6.(3G).4s_a4G
 25787.5816   4  3d6.(3P2).4s_b2P  
 26932.7348   2  3d6.(3P2).4s_b2P
 26170.1810  12  3d6.(3H).4s_b2H  
 26352.7671  10  3d6.(3H).4s_b2H
 27314.9183   8  3d6.(3F2).4s_a2F  
 27620.4033   6  3d6.(3F2).4s_a2F
 30388.5451  10  3d6.(3G).4s_b2G  
 30764.4737   8  3d6.(3G).4s_b2G
 31483.1979   8  3d6.(3D).4s_b4D  
 31387.9788   6  3d6.(3D).4s_b4D
 31364.4554   4  3d6.(3D).4s_b4D
 31368.453    2  3d6.(3D).4s_b4D
 31999.049    8  3d7_b2F  
 31811.814    6  3d7_b2F
 32875.6409  14  3d6.(1I).4s_a2I  
 32909.883   12  3d6.(1I).4s_a2I
 33466.4943  10  3d6.(1G2).4s_c2G  
 33501.2957   8  3d6.(1G2).4s_c2G 
 36252.931    6  3d6.(3D).4s_b2D  
 36126.412    4  3d6.(3D).4s_b2D 
 37227.277    2  3d6.(1S2).4s_a2S  
 38164.220    6  3d6.(1D2).4s_c2D  
 38214.503    4  3d6.(1D2).4s_c2D
 38458.9934  10  3d6.(5D).4p_z6D* 
 38660.0537   8  3d6.(5D).4p_z6D*
 38858.9696   6  3d6.(5D).4p_z6D*
 39013.2160   4  3d6.(5D).4p_z6D*
 39109.3161   2  3d6.(5D).4p_z6D*
 41968.0698  12  3d6.(5D).4p_z6F* 
 42114.8380  10  3d6.(5D).4p_z6F* 
 42237.0575   8  3d6.(5D).4p_z6F* 
 42334.8444   6  3d6.(5D).4p_z6F* 
 42401.3198   4  3d6.(5D).4p_z6F* 
 42439.8511   2  3d6.(5D).4p_z6F* 
 42658.2444   8  3d6.(5D).4p_z6P* 
 43238.6066   6  3d6.(5D).4p_z6P*
 43620.9842   4  3d6.(5D).4p_z6P*
 44232.5398  10  3d6.(5D).4p_z4F* 
 44753.8179   8  3d6.(5D).4p_z4F*
 45079.9019   6  3d6.(5D).4p_z4F*
 45289.8248   4  3d6.(5D).4p_z4F*
 44446.9051   8  3d6.(5D).4p_z4D* 
 44784.7859   6  3d6.(5D).4p_z4D*
 45044.1916   4  3d6.(5D).4p_z4D*
 45206.4704   2  3d6.(5D).4p_z4D*
 44915.057    8  3d6.(1F).4s_c2F  
 44929.532    6  3d6.(1F).4s_c2F
 46967.4751   6  3d6.(5D).4p_z4P* 
 47389.809    4  3d6.(5D).4p_z4P*
 47626.110    2  3d6.(5D).4p_z4P*
 48039.109    6  3d7_d2D 
 47674.728    4  3d7_d2D
 50212.836    6  3d6.(3P1).4s_c4P  
 49506.922    4  3d6.(3P1).4s_c4P 
 49100.956    2  3d6.(3P1).4s_c4P 
 50157.475   10  3d6.(3F1).4s_c4F  
 50187.822    8  3d6.(3F1).4s_c4F
 50142.811    6  3d6.(3F1).4s_c4F
 50075.921    4  3d6.(3F1).4s_c4F
 52966.173   10  3d5.(6S).4s.4p.(3P*)_z8P* 
 52582.850    8  3d5.(6S).4s.4p.(3P*)_z8P*
 52299.810    6  3d5.(6S).4s.4p.(3P*)_z8P*
 54902.286    4  3d6.(3P1).4s_c2P  
 54063.358    2  3d6.(3P1).4s_c2P
 54232.201   12  3d5.4s2_b4G  
 54273.656   10  3d5.4s2_b4G 
 54283.236    8  3d5.4s2_b4G 
 54275.649    6  3d5.4s2_b4G 
 54904.241    8  3d6.(3F1).4s_d2F  
 54870.541    6  3d6.(3F1).4s_d2F
 57411.086    6  3d5.4s2_d4P  
 57493.333    4  3d5.4s2_d4P
 57578.490    2  3d5.4s2_d4P
 58631.623   10  3d6.(1G1).4s_d2G  
 58666.199    8  3d6.(1G1).4s_d2G 
 59663.440    4  3d6.(3P2).4p_z4S* 
 60270.351    8  3d5.4s2_c4D  
 60445.279    6  3d5.4s2_c4D
 60441.042    4  3d5.4s2_c4D
 60384.368    2  3d5.4s2_c4D
 60402.333    6  3d6.(3P2).4p_y4P* 
 61332.753    4  3d6.(3P2).4p_y4P* 
 61035.285    2  3d6.(3P2).4p_y4P* 
 60625.446   12  3d6.(3H).4p_z4G* 
 60807.239   10  3d6.(3H).4p_z4G*
 60956.781    8  3d6.(3H).4p_z4G*
 61041.734    6  3d6.(3H).4p_z4G*
 60837.560   14  3d6.(3H).4p_z4H* 
 60887.606   12  3d6.(3H).4p_z4H*
 60989.444   10  3d6.(3H).4p_z4H*
 61156.827    8  3d6.(3H).4p_z4H*
 61093.406    6  3d6.(3P2).4p_z2D* 
 62125.604    4  3d6.(3P2).4p_z2D*
 61347.566   16  3d6.(3H).4p_z4I* 
 61527.610   14  3d6.(3H).4p_z4I*
 61587.205   12  3d6.(3H).4p_z4I*
 61512.630   10  3d6.(3H).4p_z4I*
 61726.069    8  3d6.(3P2).4p_y4D* 
 62689.874    6  3d6.(3P2).4p_y4D*
 62962.215    4  3d6.(3P2).4p_y4D*
 62829.071    2  3d6.(3P2).4p_y4D*
 62171.624    8  3d5.(6S).4s.4p.(3P*)_y6P* 
 62049.042    6  3d5.(6S).4s.4p.(3P*)_y6P*
 61974.931    4  3d5.(6S).4s.4p.(3P*)_y6P*
 62158.126   10  3d6.(3F2).4p_y4F* 
 62065.528    8  3d6.(3F2).4p_y4F* 
 62151.554    6  3d6.(3F2).4p_y4F* 
 62244.515    4  3d6.(3F2).4p_y4F* 
 62083.118   10  3d6.(3H).4p_z2G* 
 62322.445    8  3d6.(3H).4p_z2G*
 62293.177   14  3d6.(3H).4p_z2I* 
 62662.252   12  3d6.(3H).4p_z2I*
 62945.045    8  3d6.(3F2).4p_x4D* 
 63272.981    6  3d6.(3F2).4p_x4D*
 63465.134    4  3d6.(3F2).4p_x4D*
 63559.498    2  3d6.(3F2).4p_x4D*
 63876.325   12  3d6.(3F2).4p_y4G* 
 63948.803   10  3d6.(3F2).4p_y4G* 
 64040.891    8  3d6.(3F2).4p_y4G* 
 64087.408    6  3d6.(3F2).4p_y4G* 
 64286.354    8  3d6.(3F2).4p_z2F* 
 64425.405    6  3d6.(3F2).4p_z2F*
 64834.069    4  3d6.(3P2).4p_z2P* 
 64806.494    2  3d6.(3P2).4p_z2P*
 64831.951   10  3d6.(3F2).4p_y2G* 
 65109.691    8  3d6.(3F2).4p_y2G* 
 65363.607   12  3d6.(3H).4p_z2H* 
 65556.271   10  3d6.(3H).4p_z2H*
 65580.065   12  3d6.(3G).4p_x4G* 
 65696.053   10  3d6.(3G).4p_x4G*
 65931.358    8  3d6.(3G).4p_x4G*
 66078.272    6  3d6.(3G).4p_x4G*
 66012.775   10  3d6.(3G).4p_x4F* 
 66377.315    8  3d6.(3G).4p_x4F*
 66522.310    6  3d6.(3G).4p_x4F*
 66612.659    4  3d6.(3G).4p_x4F*
 66248.647    2  3d6.(3P2).4p_z2S* 
 66411.712   14  3d6.(3G).4p_y4H* 
 66463.542   12  3d6.(3G).4p_y4H*
 66589.042   10  3d6.(3G).4p_y4H*
 66672.336    8  3d6.(3G).4p_y4H*
 67000.530    6  3d6.(3F2).4p_y2D* 
 67273.833    4  3d6.(3F2).4p_y2D*
 67516.328   12  3d6.(3G).4p_y2H* 
 68000.785   10  3d6.(3G).4p_y2H*
 69102.427    6  3d5.(6S).4s.4p.(3P*)_x4P* 
 69302.086    4  3d5.(6S).4s.4p.(3P*)_x4P*
 69427.014    2  3d5.(6S).4s.4p.(3P*)_x4P*
 69606.567    8  3d6.(3G).4p_y2F* 
 69650.481    6  3d6.(3G).4p_y2F*
 70314.624   10  3d6.(3G).4p_x2G* 
 70523.694    8  3d6.(3G).4p_x2G*
 71432.690   16  3d6.(1I).4p_z2K* 
 70986.667   14  3d6.(1I).4p_z2K*
 71964.750    6  3d6.(3D).4p_w4P* 
 72043.060    4  3d6.(3D).4p_w4P*
 72212.989    2  3d6.(3D).4p_w4P*
 72261.742   12  3d6.(1G2).4p_x2H* 
 72130.375   10  3d6.(1G2).4p_x2H* 
 72650.698   10  3d6.(3D).4p_w4F* 
 72352.046    8  3d6.(3D).4p_w4F*
 72238.564    6  3d6.(3D).4p_w4F*
 72169.004    4  3d6.(3D).4p_w4F*
 72651.914    8  3d6.(3D).4p_w4D* 
 72619.499    6  3d6.(3D).4p_w4D*
 72524.561    4  3d6.(3D).4p_w4D*
 72429.675    2  3d6.(3D).4p_w4D*
 73016.184    8  3d6.(1G2).4p_x2F* 
 73054.913    6  3d6.(1G2).4p_x2F*
 73091.630   10  3d6.(1G2).4p_w2G* 
 73143.346    8  3d6.(1G2).4p_w2G*
 73189.114    4  3d6.(3D).4p_y2P* 
 73187.318    2  3d6.(3D).4p_y2P*
 73393.771   10  3d5.4s2_4F    
 73492.248    8  3d5.4s2_4F
 73395.831    6  3d5.4s2_4F
 73637.285    4  3d5.4s2_4F
 73603.537   12  3d6.(1I).4p_w2H* 
 73751.276   10  3d6.(1I).4p_w2H*
 73966.843   14  3d6.(1I).4p_y2I* 
 73969.761   12  3d6.(1I).4p_y2I*
 74606.864    6  3d6.(3D).4p_x2D* 
 74498.093    4  3d6.(3D).4p_x2D*
 75600.900    8  3d6.(3D).4p_w2F* 
 75915.080    6  3d6.(3D).4p_w2F*
 76129.465    4  3d6.(1S2).4p_x2P* 
 76577.436    2  3d6.(1S2).4p_x2P*
 78137.404    8  3d6.(1D2).4p_v2F* 
 77742.736    6  3d6.(1D2).4p_v2F*
 77861.650   10  3d6.(5D).5s_e6D  
 78237.709    8  3d6.(5D).5s_e6D
 78525.442    6  3d6.(5D).5s_e6D
 78725.822    4  3d6.(5D).5s_e6D
 78844.031    2  3d6.(5D).5s_e6D
 78577.263   10  3d5.4s2_2G   
 78185.004    8  3d5.4s2_2G 
 78690.860    6  3d6.(1D2).4p_w2D* 
 78487.144    4  3d6.(1D2).4p_w2D*
 79243.462    4  3d6.(1D2).4p_w2P* 
 78841.872    2  3d6.(1D2).4p_w2P*
 79331.361    8  3d5.(6S).4s.4p.(1P*)_x6P* 
 79284.919    6  3d5.(6S).4s.4p.(1P*)_x6P*
 79245.926    4  3d5.(6S).4s.4p.(1P*)_x6P*
 79439.496    8  3d6.(5D).5s_e4D  
 79885.523    6  3d6.(5D).5s_e4D
 80178.005    4  3d6.(5D).5s_e4D
 80346.060    2  3d6.(5D).5s_e4D
 81734.733    8  3d5.4s2_2F   
 81639.253    6  3d5.4s2_2F
 82853.704   12  3d6.(5D).4d_e6F  
 82978.717   10  3d6.(5D).4d_e6F
 83136.508    8  3d6.(5D).4d_e6F
 83308.241    6  3d6.(5D).4d_e6F
 83459.721    4  3d6.(5D).4d_e6F
