#E[cm⁻¹]         g  configuration
      0.0000     2  3p6.4s_2S 
  12985.185724   2  3p6.4p_2P*
  13042.896027   4  3p6.4p_2P*
  21026.551      2  3p6.5s_2S 
  21534.680      6  3p6.3d_2D 
  21536.988      4  3p6.3d_2D
  24701.382      2  3p6.5p_2P*
  24720.139      4  3p6.5p_2P*
  27397.077      6  3p6.4d_2D 
  27398.147      4  3p6.4d_2D
  27450.7104     2  3p6.6s_2S 
  28127.85       8  3p6.4f_2F*
  28127.85       6  3p6.4f_2F*
  28999.27       2  3p6.6p_2P*
  29007.71       4  3p6.6p_2P*
  30185.2439     6  3p6.5d_2D 
  30185.7476     4  3p6.5d_2D 
  30274.2487     2  3p6.7s_2S 
  30606.73       8  3p6.5f_2F*
  30606.73       6  3p6.5f_2F*
  30617.31       8  3p6.5g_2G 
  30617.31      10  3p6.5g_2G 
  31069.90       2  3p6.7p_2P*
  31074.40       4  3p6.7p_2P*
  31695.9005     6  3p6.6d_2D 
  31696.1661     4  3p6.6d_2D 
  31765.3767     2  3p6.8s_2S 
  31953.17       8  3p6.6f_2F*
  31953.17       6  3p6.6f_2F*
  32227.44       2  3p6.8p_2P*
  32230.11       4  3p6.8p_2P*
  32598.2881     6  3p6.7d_2D 
  32598.4437     4  3p6.7d_2D
  32648.3511     2  3p6.9s_2S 
  32764.80       6  3p6.7f_2F*
  32764.80       8  3p6.7f_2F*
  32940.2030     2  3p6.9p_2P*
  32941.9262     4  3p6.9p_2P*
  33178.1339     6  3p6.8d_2D 
  33178.2324     4  3p6.8d_2D 
  33214.2267     2  3p6.10s_2S 
  33291.40       6  3p6.8f_2F*
  33291.40       8  3p6.8f_2F*
  33410.2306     2  3p6.10p_2P*
  33411.3986     4  3p6.10p_2P*
  33572.0592     6  3p6.9d_2D 
  33572.1249     4  3p6.9d_2D 
  33598.5597     2  3p6.11s_2S 
  33652.32       6  3p6.9f_2F*
  33652.32       8  3p6.9f_2F*
  33736.4979     2  3p6.11p_2P*
  33737.3284     4  3p6.11p_2P*
  33851.5956     6  3p6.10d_2D 
  33851.6418     4  3p6.10d_2D 
  33871.4788     2  3p6.12s_2S 
  33910.42       8  3p6.10f_2F*
  33910.42       6  3p6.10f_2F*
  33972.2064     2  3p6.12p_2P*
  33972.8148     4  3p6.12p_2P*
