#E[cm⁻¹]      g  configuration
     0.0   1  3p6_1S        
162502.7   5  3p5.4s_3P*       
163232.2   3  3p5.4s_3P*  
165145.4   1  3p5.4s_3P*  
163432.1   1  3p5.3d_3P*       
164492.0   3  3p5.3d_3P*  
164927.9   5  3p5.3d_3P*  
166457.3   3  3p5.4s_1P*       
170831.1   7  3p5.3d_3F*       
171522.6   5  3p5.3d_3F*
170049.2   9  3p5.3d_3F*
179349.2   5  3p5.3d_1D*       
179395.8   7  3p5.3d_3D*       
180392.7   5  3p5.3d_3D*
180448.9   3  3p5.3d_3D*
180618.7   7  3p5.3d_1F*       
183204.1   3  3p5.4p_3S        
186383.8   7  3p5.4p_3D        
186681.4   5  3p5.4p_3D 
187527.0   3  3p5.4p_3D 
188150.3   5  3p5.4p_1D        
189239.5   3  3p5.4p_1P        
189657.4   5  3p5.4p_3P        
189768.0   1  3p5.4p_3P
190130.7   3  3p5.4p_3P
194772.2   1  3p5.4p_1S        
201957.6   3  3p5.3d_1P*       
212571.2   5  3p5.(2P*<3/2>).5s_2[3/2]*   
212988.6   3  3p5.(2P*<3/2>).5s_2[3/2]*
214722.7   1  3p5.(2P*<1/2>).5s_2[1/2]*   
215014.6   3  3p5.(2P*<1/2>).5s_2[1/2]*
215400.9   3  3p5.4d_3P*       
215851.5   5  3p5.4d_3P*
215121     1  3p5.4d_3P*
217061.9   5  3p5.4d_3F*       
215976     9  3p5.4d_3F*
216455     7  3p5.4d_3F*
217722.3   7  3p5.4d_3D*       
219192.1   5  3p5.4d_3D*
218992     3  3p5.4d_3D*
218900     5  3p5.4d_1D*       
219354     7  3p5.4d_1F*       
227100.9   3  3p5.(2P*<3/2>).4f_2[3/2]    
227123.2   5  3p5.(2P*<3/2>).4f_2[3/2]
227226.0  11  3p5.(2P*<3/2>).4f_2[9/2]    
227230.6   9  3p5.(2P*<3/2>).4f_2[9/2]
227343.9   7  3p5.(2P*<3/2>).4f_2[5/2]    
227367.2   5  3p5.(2P*<3/2>).4f_2[5/2]
227484.8   7  3p5.(2P*<3/2>).4f_2[7/2]    
227487.5   9  3p5.(2P*<3/2>).4f_2[7/2]
229492.5   7  3p5.(2P*<1/2>).4f_2[7/2]    
229495.9   9  3p5.(2P*<1/2>).4f_2[7/2]
229507.0   7  3p5.(2P*<1/2>).4f_2[5/2]    
229524.9   5  3p5.(2P*<1/2>).4f_2[5/2]
230500     3  3p5.6s_(3/2,1/2)*
231700     3  3p5.5d_(3/2,3/2)*
232600     3  3p5.6s_(1/2,1/2)*
233700     3  3p5.5d_(3/2,5/2)*
237000     3  3p5.5d_(1/2,3/2)*
237204.7   3  3p5.(2P*<3/2>).5f_2[3/2]    
237220.4   5  3p5.(2P*<3/2>).5f_2[3/2]
237271.2  11  3p5.(2P*<3/2>).5f_2[9/2]    
237275.3   9  3p5.(2P*<3/2>).5f_2[9/2]
237339.0   7  3p5.(2P*<3/2>).5f_2[5/2]    
237356.7   5  3p5.(2P*<3/2>).5f_2[5/2]
237408.5   7  3p5.(2P*<3/2>).5f_2[7/2]    
237407.2   9  3p5.(2P*<3/2>).5f_2[7/2]
239000     3  3p5.7s_(3/2,1/2)*
239485.4   7  3p5.(2P*<1/2>).5f_2[7/2]    
239487.7   9  3p5.(2P*<1/2>).5f_2[7/2]
239486.7   7  3p5.(2P*<1/2>).5f_2[5/2]    
239503.3   5  3p5.(2P*<1/2>).5f_2[5/2] 
239600     3  3p5.6d_(3/2,3/2)*
241000     3  3p5.7s_(1/2,1/2)*
241000     3  3p5.6d_(3/2,5/2)*
242692.6   3  3p5.(2P*<3/2>).6f_2[3/2]    
242700.3   5  3p5.(2P*<3/2>).6f_2[3/2]
242728.7  11  3p5.(2P*<3/2>).6f_2[9/2]    
242732.2   9  3p5.(2P*<3/2>).6f_2[9/2]
242771.2   7  3p5.(2P*<3/2>).6f_2[5/2]    
242774.8   5  3p5.(2P*<3/2>).6f_2[5/2]
242810.6   7  3p5.(2P*<3/2>).6f_2[7/2]    
242811.1   9  3p5.(2P*<3/2>).6f_2[7/2]
242900     3  3p5.6d_(1/2,3/2)*
243700     3  3p5.8s_(3/2,1/2)*
244100     3  3p5.7d_(3/2,3/2)*
244904     7  3p5.(2P*<1/2>).6f_2[7/2]    
244905     9  3p5.(2P*<1/2>).6f_2[7/2]
244906     7  3p5.(2P*<1/2>).6f_2[5/2]    
244916     5  3p5.(2P*<1/2>).6f_2[5/2]
245000     3  3p5.7d_(3/2,5/2)*
245800     3  3p5.8s_(1/2,1/2)*
246600     3  3p5.7d_(1/2,3/2)*
247600     3  3p5.8d_(3/2,5/2)*
249500     3  3p5.8d_(3/2,3/2)*
250859     3  3p5.8d_(1/2,3/2)*
255072.8   4  3p5_2P*
