#E[cm⁻¹]     g  configuration
     0.000   1  2p6.3s2_1S 
 21850.405   1  3s.3p_3P*
 21870.464   3  3s.3p_3P*
 21911.178   5  3s.3p_3P*
 35051.264   3  3s.3p_1P*
 41197.403   3  3s.4s_3S 
 43503.333   1  3s.4s_1S 
 46403.065   5  3s.3d_1D 
 47841.119   1  3s.4p_3P*
 47844.414   3  3s.4p_3P*
 47851.162   5  3s.4p_3P*
 47957.027   5  3s.3d_3D 
 47957.045   7  3s.3d_3D
 47957.058   3  3s.3d_3D
 49346.729   3  3s.4p_1P*
 51872.526   3  3s.5s_3S 
 52556.206   1  3s.5s_1S 
 53134.642   5  3s.4d_1D 
 54192.256   7  3s.4d_3D 
 54192.294   5  3s.4d_3D
 54192.335   3  3s.4d_3D
 54248.809   1  3s.5p_3P*
 54250.086   3  3s.5p_3P*
 54252.726   5  3s.5p_3P*
 54676.438   7  3s.4f_1F*
 54676.654   5  3s.4f_3F*
 54676.701   7  3s.4f_3F*
 54676.755   9  3s.4f_3F*
 54706.536   3  3s.5p_1P*
 55891.80    3  3s.6s_3S 
 56186.873   1  3s.6s_1S 
 56308.381   5  3s.5d_1D 
 56968.218   7  3s.5d_3D
 56968.248   5  3s.5d_3D
 56968.271   3  3s.5d_3D
 57017.078   1  3s.6p_3P*
 57017.724   3  3s.6p_3P*
 57019.025   5  3s.6p_3P*
 57204.163   7  3s.5f_1F*
 57204.228   5  3s.5f_3F*
 57204.267   7  3s.5f_3F*
 57204.305   9  3s.5f_3F*
 57214.992   3  3s.6p_1P*
 57262.760   9  3s.5g_3G 
 57262.760   7  3s.5g_3G
 57262.760   9  3s.5g_1G 
 57812.77    1  3p2_3P
 57833.40    3  3p2_3P
 57873.94    5  3p2_3P
 57855.214   3  3s.7s_3S 
 58009.41    1  3s.7s_1S 
 58023.246   5  3s.6d_1D 
 58442.835   7  3s.6d_3D
 58442.845   5  3s.6d_3D
 58442.878   3  3s.6d_3D
 58476.689   1  3s.7p_3P*
 58477.020   3  3s.7p_3P*
 58477.760   5  3s.7p_3P*
 58575.477   7  3s.6f_1F*
 58575.527   7  3s.6f_3F*
 58575.527   9  3s.6f_3F*
 58575.527   5  3s.6f_3F*
 58580.23    3  3s.7p_1P*
 58610.795  11  3s.6g_3G 
 58610.795   9  3s.6g_3G
 58610.795   7  3s.6g_3G
 58610.795   9  3s.6g_1G 
 58618.942  44  3s.6h_H* 
 58962.739   3  3s.8s_3S 
 59041.019   5  3s.7d_1D 
 59053.52    1  3s.8s_1S 
 59318.764   7  3s.7d_3D 
 59318.775   5  3s.7d_3D
 59318.793   3  3s.7d_3D
 59342.51    1  3s.8p_3P*
 59342.51    3  3s.8p_3P*
 59342.51    5  3s.8p_3P*
 59400.763   7  3s.7f_3F*
 59400.763   9  3s.7f_3F*
 59400.763   5  3s.7f_3F*
 59400.763   7  3s.7f_1F*
 59403.18    3  3s.8p_1P*
 59423.537  11  3s.7g_3G 
 59423.537   9  3s.7g_3G
 59423.537   7  3s.7g_3G
 59423.537   9  3s.7g_1G 
 59428.853  44  3s.7h_H* 
 59430.517  52  3s.7i_I  
 59649.15    3  3s.9s_3S 
 59689.991   5  3s.8d_1D 
 59707.11    1  3s.9s_1S 
 59881.168   7  3s.8d_3D
 59881.181   5  3s.8d_3D
 59881.196   3  3s.8d_3D
 59897.86    5  3s.9p_3P*
 59897.86    3  3s.9p_3P*
 59897.86    1  3s.9p_3P*
 59935.370   7  3s.8f_3F*
 59935.370   9  3s.8f_3F*
 59935.370   5  3s.8f_3F*
 59935.370   7  3s.8f_1F*
 59936.63    3  3s.9p_1P*
 59950.87    9  3s.8g_1G 
 59950.87    9  3s.8g_3G 
 59950.87   11  3s.8g_3G
 59954.523  44  3s.8h_H* 
 60104.00    3  3s.10s_3S 
 60127.239   5  3s.9d_1D 
 60143.23    1  3s.10s_1S 
 60263.583   5  3s.9d_3D
 60263.583   3  3s.9d_3D
 60263.583   7  3s.9d_3D
 60301.283   7  3s.9f_1F*
 60301.283   9  3s.9f_3F*
 60301.283   7  3s.9f_3F*
 60301.283   5  3s.9f_3F*
 60302.30    3  3s.10p_1P*
 60312.317  36  3s.9g_G  
 60314.902  44  3s.9h_H* 
 60315.722  52  3s.9i_I  
 60316.041  60  3s.9k_K* 
 60420.87    3  3s.11s_3S 
 60435.099   5  3s.10d_1D 
 60535.34    7  3s.10d_3D
 60535.34    3  3s.10d_3D
 60535.34    5  3s.10d_3D
