#E[cm⁻¹]     g  configuration
      0.00   2  2p6.3s_2S 
  35669.31   2  2p6.3p_2P*
  35760.88   4  2p6.3p_2P*
  69804.95   2  2p6.4s_2S 
  71490.19   6  2p6.3d_2D 
  71491.06   4  2p6.3d_2D
  80619.50   2  2p6.4p_2P*
  80650.02   4  2p6.4p_2P*
  92790.51   2  2p6.5s_2S 
  93310.59   6  2p6.4d_2D 
  93311.11   4  2p6.4d_2D
  93799.63   6  2p6.4f_2F*
  93799.75   8  2p6.4f_2F*
  97455.12   2  2p6.5p_2P*
  97468.92   4  2p6.5p_2P*
 103196.75   2  2p6.6s_2S 
 103419.70   6  2p6.5d_2D 
 103420.00   4  2p6.5d_2D
 103689.86   6  2p6.5f_2F*
 103689.92   8  2p6.5f_2F*
 103705.66   8  2p6.5g_2G 
 103705.66  10  2p6.5g_2G
 105622.34   2  2p6.6p_2P*
 105629.72   4  2p6.6p_2P*
 108784.33   2  2p6.7s_2S 
 108900.02   6  2p6.6d_2D 
 108900.20   4  2p6.6d_2D
 109062.32   6  2p6.6f_2F*
 109062.35   8  2p6.6f_2F*
 109072.05  10  2p6.6g_2G 
 109072.05   8  2p6.6g_2G
 109073.97  12  2p6.6h_2H*
 109073.97  10  2p6.6h_2H*
 110203.58   2  2p6.7p_2P*
 110207.99   4  2p6.7p_2P*
 112129.20   2  2p6.8s_2S 
 112197.05   6  2p6.7d_2D 
 112197.17   4  2p6.7d_2D
 112301.47   8  2p6.7f_2F*
 112301.47   6  2p6.7f_2F*
 112307.79  10  2p6.7g_2G 
 112307.79   8  2p6.7g_2G
 112309.06  12  2p6.7h_2H*
 112309.06  10  2p6.7h_2H*
 112309.45  26  2p6.7i_2I 
 113030.25   2  2p6.8p_2P*
 113033.09   4  2p6.8p_2P*
 114289.36   2  2p6.9s_2S 
 114332.68   6  2p6.8d_2D 
 114332.74   4  2p6.8d_2D
 114403.55   8  2p6.8f_2F*
 114403.55   6  2p6.8f_2F*
 114407.88   8  2p6.8g_2G 
 114407.88  10  2p6.8g_2G
 114408.74  12  2p6.8h_2H*
 114408.74  10  2p6.8h_2H*
 114409.02  26  2p6.8i_2I 
 114896.79   2  2p6.9p_2P*
 114898.72   4  2p6.9p_2P*
 115764.99   2  2p6.10s_2S 
 115794.39   6  2p6.9d_2D 
 115794.44   4  2p6.9d_2D
 115844.60   6  2p6.9f_2F*
 115844.60   8  2p6.9f_2F*
 115847.67   8  2p6.9g_2G 
 115847.67  10  2p6.9g_2G 
 115848.28  12  2p6.9h_2H*
 115848.28  10  2p6.9h_2H*
 115848.51  26  2p6.9i_2I 
 116193.7    2  2p6.10p_2P*
 116195.1    4  2p6.10p_2P*
 116838.45   6  2p6.10d_2D 
 116838.48   4  2p6.10d_2D
 116875.25   6  2p6.10f_2F*
 116875.25   8  2p6.10f_2F*
 116877.54   8  2p6.10g_2G 
 116877.54  10  2p6.10g_2G
 116878.04  12  2p6.10h_2H*
 116878.04  10  2p6.10h_2H*
 116878.13  26  2p6.10i_2I 
 117639.51  10  2p6.11g_2G 
 117639.51   8  2p6.11g_2G
 121267.61   1  2p6_1S
 402590      4  2p5.3s2_2P*
 404510      2  2p5.3s2_2P*
 428957      4  2p5.(2P*).3s.3p.(3P*)_4S 
 435190      4  2p5.(2P*).3s.3p.(3P*)_4D 
 435640      2  2p5.(2P*).3s.3p.(3P*)_4D
 434090      8  2p5.(2P*).3s.3p.(3P*)_4D
 434633      6  2p5.(2P*).3s.3p.(3P*)_4D
 435200      0  2p5.3s.3p
 437570      6  2p5.(2P*).3s.3p.(3P*)_4P 
 438167      4  2p5.(2P*).3s.3p.(3P*)_4P
 439300      0  2p5.3s.3p
 439540      6  2p5.(2P*).3s.3p.(3P*)_2D 
 440200      0  2p5.3s.3p
 441330      4  2p5.(2P*).3s.3p.(3P*)_2P 
 445100      0  2p5.3s.3p
 457300      0  2p5.3s.3p
 458500      0  2p5.3s.3p
 459800      4  2p5.(2P*).3s.3p.(1P*)_2P 
 460100      0  2p5.3s.3p
 464930      2  2p5.(2P*).3s.3p.(1P*)_2S 
 477490      2  2p5.(2P*).3p2.(1D)_2P*
 478260      4  2p5.(2P*).3p2.(1D)_2P*
 483373      6  2p5.(2P*).3p2.(3P)_4P*
 486856      8  2p5.(2P*).3p2.(3P)_4D*
 488587      6  2p5.(2P*).3p2.(3P)_4D*
 487205      6  2p5.(2P*).3s.4s.(3S)_4P*
 489383     10  2p5.(2P*).3s.3d.(3D)_4F*
 489440      6  2p5.(2P*).3s.3d.(3D)_4P*
 491330      2  2p5.(2P*).3s.4s.(3S)_2P*
 491590      4  2p5.(2P*).3s.4s.(3S)_2P*
 492760      4  2p5.(2P*).3s.3d.(3D)
 493800      2  2p5.(2P*).3s.3d.(3D)_2P*
 494390      4  2p5.(2P*).3s.4s.(1S)_2P*
 495050      2  2p5.(2P*).3s.4s.(1S)_2P*
 501730      2  2p5.(2P*).3p2.(3P)_2P*
 505780      4  2p5.(2P*).3p2.(3P)_2P*
 516420      0  2p5.3s.4d
 517060      0  2p5.3s.5s
 517300      0  2p5.3s.4d
 517890      0  2p5.3s.4d
 518560      0  2p5.3s.5s
 519350      0  2p5.3s.4d
 519750      0  2p5.3s.4d
 521780      0  2p5.3s.5s
 522030      0  2p5.3s.4d
 522740      0  2p5.3s.4d
 528070      0  2p5.3s.5d
 528460      0  2p5.3s.5d
 529070      0  2p5.3s.5d
 529350      0  2p5.3s.5d
 530390      0  2p5.3s.5d
 533670      0  2p5.3s.6d
 534220      0  2p5.3s.6d
 535220      0  2p5.3s.6d
 536280      0  2p5.3s.6d
 537690      0  2p5.3s.7d
 538820      0  2p5.3s.7d
 539780      0  2p5.3s.6d
 541100      0  2p5.3s.8d
 541480      0  2p5.3s.9d
 542560      0  2p5.3s.9d
 543210      0  2p5.3s.7d
 546908      5  2p5.3s_3P*
 548136      3  2p5.3s_3P*
 549120      1  2p5.3s_3P*
 552798      3  2p5.3s_1P*
