#E[cm⁻¹]      g  configuration           term
      0.0000  2  2p6.3s                  2S    
  16956.1702  2  2p6.3p                  2P*   
  16973.3661  4  2p6.3p                  2P*   
  25739.999   2  2p6.4s                  2S    
  29172.837   6  2p6.3d                  2D    
  29172.887   4  2p6.3d                  2D    
  30266.99    2  2p6.4p                  2P*   
  30272.58    4  2p6.4p                  2P*   
  33200.673   2  2p6.5s                  2S    
  34548.729   6  2p6.4d                  2D    
  34548.764   4  2p6.4d                  2D    
  34586.92    8  2p6.4f                  2F*   
  34586.92    6  2p6.4f                  2F*   
  35040.38    2  2p6.5p                  2P*   
  35042.85    4  2p6.5p                  2P*   
  36372.618   2  2p6.6s                  2S    
  37036.752   6  2p6.5d                  2D    
  37036.772   4  2p6.5d                  2D    
  37057.65    6  2p6.5f                  2F*   
  37057.65    8  2p6.5f                  2F*   
  37059.54   18  2p6.5g                  2G    
  37296.32    2  2p6.6p                  2P*   
  37297.61    4  2p6.6p                  2P*   
  38012.042   2  2p6.7s                  2S    
  38387.255   6  2p6.6d                  2D    
  38387.268   4  2p6.6d                  2D    
  38399.79    6  2p6.6f                  2F*   
  38399.79    8  2p6.6f                  2F*   
  38400.900   8  2p6.6g                  2G    
  38400.904  10  2p6.6g                  2G    
  38401.147  12  2p6.6h                  2H*   
  38401.153  10  2p6.6h                  2H*   
  38540.18    2  2p6.7p                  2P*   
  38540.93    4  2p6.7p                  2P*   
  38968.51    2  2p6.8s                  2S    
  39200.93    4  2p6.7d                  2D    
  39200.93    6  2p6.7d                  2D    
  39208.98    6  2p6.7f                  2F*   
  39208.98    8  2p6.7f                  2F*   
  39209.725  18  2p6.7g                  2G    
  39209.887  22  2p6.7h                  2H*   
  39298.35    2  2p6.8p                  2P*   
  39298.84    4  2p6.8p                  2P*   
  39574.85    2  2p6.9s                  2S    
  39728.70    4  2p6.8d                  2D    
  39728.70    6  2p6.8d                  2D    
  39734.16    8  2p6.8f                  2F*   
  39734.16    6  2p6.8f                  2F*   
  39734.678  18  2p6.8g                  2G    
  39734.790  22  2p6.8h                  2H*   
  39794.479   2  2p6.9p                  2P*   
  39794.810   4  2p6.9p                  2P*   
  39983.27    2  2p6.10s                 2S    
  40090.31    4  2p6.9d                  2D    
  40090.31    6  2p6.9d                  2D    
  40094.19    6  2p6.9f                  2F*   
  40094.19    8  2p6.9f                  2F*   
  40094.581  18  2p6.9g                  2G    
  40094.660  22  2p6.9h                  2H*   
  40136.810   2  2p6.10p                 2P*   
  40137.043   4  2p6.10p                 2P*   
  40271.396   2  2p6.11s                 2S    
  40348.915   6  2p6.10d                 2D    
  40348.918   4  2p6.10d                 2D    
  40351.761   8  2p6.10f                 2F*   
  40351.761   6  2p6.10f                 2F*   
  40352.015  18  2p6.10g                 2G    
  40352.073  22  2p6.10h                 2H*   
  40382.925   2  2p6.11p                 2P*   
  40383.097   4  2p6.11p                 2P*   
  40482.236   2  2p6.12s                 2S    
  40540.093   6  2p6.11d                 2D    
  40540.095   4  2p6.11d                 2D    
  40542.293   6  2p6.11f                 2F*   
  40542.293   8  2p6.11f                 2F*   
  40542.484  18  2p6.11g                 2G    
  40565.783   2  2p6.12p                 2P*   
  40565.913   4  2p6.12p                 2P*   
  40641.148   2  2p6.13s                 2S    
  40685.509   4  2p6.12d                 2D    
  40685.509   6  2p6.12d                 2D    
  40687.203  14  2p6.12f                 2F*   
  40687.352  18  2p6.12g                 2G    
  40705.344   2  2p6.13p                 2P*   
  40705.444   4  2p6.13p                 2P*   
  40763.884   2  2p6.14s                 2S    
  40798.642   6  2p6.13d                 2D    
  40798.644   4  2p6.13d                 2D    
  40799.974  14  2p6.13f                 2F*   
  40800.091  18  2p6.13g                 2G    
  40814.273   2  2p6.14p                 2P*   
  40814.352   4  2p6.14p                 2P*   
  40860.648   2  2p6.15s                 2S    
  40888.386   6  2p6.14d                 2D    
  40888.387   4  2p6.14d                 2D    
  40889.452  14  2p6.14f                 2F*   
  40889.546  18  2p6.14g                 2G    
  40900.922   2  2p6.15p                 2P*   
  40900.985   4  2p6.15p                 2P*   
  40938.281   2  2p6.16s                 2S    
  40960.771   6  2p6.15d                 2D    
  40960.771   4  2p6.15d                 2D    
  40961.637  14  2p6.15f                 2F*   
  40961.714  18  2p6.15g                 2G    
  40970.976   2  2p6.16p                 2P*   
  40971.028   4  2p6.16p                 2P*   
  41001.515   2  2p6.17s                 2S    
  41020.000   6  2p6.16d                 2D    
  41020.001   4  2p6.16d                 2D    
  41020.714  14  2p6.16f                 2F*   
  41020.777  18  2p6.16g                 2G    
  41028.419   2  2p6.17p                 2P*   
  41028.462   4  2p6.17p                 2P*   
  41053.701   2  2p6.18s                 2S    
  41069.079   6  2p6.17d                 2D    
  41069.080   4  2p6.17d                 2D    
  41069.674  14  2p6.17f                 2F*   
  41069.727  18  2p6.17g                 2G    
  41076.106   2  2p6.18p                 2P*   
  41076.141   4  2p6.18p                 2P*   
  41097.271   2  2p6.19s                 2S    
  41110.202   4  2p6.18d                 2D    
  41110.202   6  2p6.18d                 2D    
  41110.703  14  2p6.18f                 2F*   
  41110.747   8  2p6.18g                 2G    
  41110.748  10  2p6.18g                 2G    
  41116.126   2  2p6.19p                 2P*   
  41116.156   4  2p6.19p                 2P*   
  41134.023   2  2p6.20s                 2S    
  41144.999   6  2p6.19d                 2D    
  41145.000   4  2p6.19d                 2D    
  41145.425  14  2p6.19f                 2F*   
  41145.463  18  2p6.19g                 2G    
  41150.040   2  2p6.20p                 2P*   
  41150.066   4  2p6.20p                 2P*   
  41174.705   4  2p6.20d                 2D    
  41174.705   6  2p6.20d                 2D    
  41175.070  14  2p6.20f                 2F*   
  41175.102  18  2p6.20g                 2G    
  41449.451   1  2p6                     1S    
 248170       4  2p5.3s2                 2P*   
 249489       2  2p5.3s2                 2P*   
 263745.3     4  2p5.(2P*).3s.3p.(3P*)   4S    
 266586.7     8  2p5.(2P*).3s.3p.(3P*)   4D    
 266933.9     6  2p5.(2P*).3s.3p.(3P*)   4D    
 267282.3     4  2p5.(2P*).3s.3p.(3P*)   4D    
 267576.0     2  2p5.(2P*).3s.3p.(3P*)   4D    
 268513.9     6  2p5.(2P*).3s.3p.(3P*)   4P    
 268897.4     4  2p5.(2P*).3s.3p.(3P*)   4P    
 269086.5     2  2p5.(2P*).3s.3p.(3P*)   4P    
 269726       4  2p5.(2P*).3s.3p.(3P*)   2D    
 270196       6  2p5.(2P*).3s.3p.(3P*)   2D    
 270582       2  2p5.(2P*).3s.3p.(3P*)   2P    
 270877       4  2p5.(2P*).3s.3p.(3P*)   2P    
 273236       2  2p5.(2P*).3s.3p.(3P*)   2S    
 280596       6  2p5.(2P*).3s.3p.(1P*)   2D    
 280778       2  2p5.(2P*).3s.3p.(1P*)   2S    
 281019       4  2p5.(2P*).3s.3p.(1P*)   2P    
 282076       4  2p5.(2P*).3s.3p.(1P*)   2D    
 282332       2  2p5.(2P*).3s.3p.(1P*)   2P    
 286300.4     6  2p5.3s.(3P*).4s         4P*   
 286849.5     4  2p5.3s.(3P*).4s         4P*   
 287374.8     2  2p5.3s.(3P*).4s         4P*   
 288452       4  2p5.3s.(3P*).4s         2P*   
 288642       2  2p5.3s.(3P*).4s         2P*   
 290234       2  2p5.3s.(3P*).3d         2P*   
 290489       4  2p5.3s.(3P*).3d         2P*   
 290786       4  2p5.3s.(1P*).4s         2P*   
 291380       2  2p5.3s.(1P*).4s         2P*   
 292090       4  2p5.3s.(3P*).3d         2D*   
 292219.6     2  2p5.3s.(3P*).3d         4P*   
 292289.2     4  2p5.3s.(3P*).3d         4P*   
 292340.6    10  2p5.3s.(3P*).3d         4F*   
 292399.4     6  2p5.3s.(3P*).3d         4D*   
 292449.7     8  2p5.3s.(3P*).3d         4F*   
 292913.9     6  2p5.3s.(3P*).3d         4F*   
 293010.3     4  2p5.3s.(3P*).3d         4D*   
 293133.1     2  2p5.3s.(3P*).3d         4D*   
 293528       4  2p5.3s.(3P*).3d         4F*   
 295054       4  2p5.3s.(3P*).4p         2D    
 295294       4  2p5.3s.(1P*).3d         2P*   
 295526       2  2p5.3s.(1P*).3d         2P*   
 295740       6  2p5.3s.(1P*).3d         2D*   
 295749       4  2p5.3s.(1P*).3d         2D*   
 296576       6  2p5.3s.(1P*).4p         2D    
 296618       2  2p5.3s.(1P*).4p         2S    
 296808       4  2p5.3s.(1P*).4p         2P    
 297048       4  2p5.3s.(1P*).4p         2D    
 297074       4  2p5.3s.(3P*).5s         4P*   
 297121       2  2p5.3s.(1P*).4p         2P    
 297645       4  2p5.3s.(3P*).5s         2P*   
 297724       2  2p5.3s.(3P*).4d         2P*   
 297848       4  2p5.3s.(3P*).4d         2P*   
 298350       2  2p5.3s.(3P*).5s         2P*   
 298986       4  2p5.3s.(3P*).4d         2D*   
 300040       4  2p5.3s.(3P*).4d         4F*   
 300621       4  2p5.3s.(1P*).5s         2P*   
 300777       4  2p5.3s.(3P*).6s         2P*   
 301423       4  2p5.3s.(3P*).6s         4P*   
 301486       2  2p5.3s.(3P*).6s         4P*   
 301588       4  2p5.3s.(1P*).4d         2P*   
 301976       2  2p5.3s.(1P*).4d         2P*   
 302142       2  2p5.3s.(3P*).6s         2P*   
 302419       4  2p5.3s.(3P*).5d         4F*   
 302458       2  2p5.3s.(3P*).5d         4D*   
 302686       4  2p5.3s.(3P*).7s         2P*   
 302830       2  2p5.3s.(3P*).6d         2P*   
 303233       6  2p5.3s.(3P*).6d         4P*   
 303401       6  2p5.3s.(3P*).7s          P*   
 303683       2  2p5.3s.(3P*).6d         4D*   
 303739       4  2p5.3s.(3P*).8s         2P*   
 303974       2  2p5.3s.(3P*).7s         4P*   
 304054       4  2p5.3s.(3P*).7d         4P*   
 304090       2  2p5.3s.(3P*).7d         2P*   
 304371       4  2p5.3s.(3P*).9s         2P*   
 304451       6  2p5.3s.(1P*).6s         2P*   
 304547       4  2p5.3s.(3P*).6d         4F*   
 304609       6  2p5.3s.(3P*).8d         4P*   
 304767       6  2p5.3s.(3P*).7d         4D*   
 304825       4  2p5.3s.(3P*).10s        2P*   
 304942       6  2p5.3s.(3P*).9d         4P*   
 305047       2  2p5.3s.(3P*).8s         4P*   
 305143       6  2p5.3s.(3P*).9s          P*   
 305214       6  2p5.3s.(3P*).10d        4P*   
 305232       6  2p5.3s.(3P*).8d         4D*   
 305319       4  2p5.3s.(3P*).7d         4F*   
