#E[cm⁻¹]     g  configuration           term
      0.00   1  2s2.2p6                 1S      
 264924.32   5  2s2.2p5.3s              3P*     
 265689.62   3  2s2.2p5.3s              3P*     
 266281.62   1  2s2.2p5.3s              3P*     
 268762.96   3  2s2.2p5.3s              1P*     
 293220.33   3  2s2.2p5.3p              3S      
 297248.82   7  2s2.2p5.3p              3D      
 297635.61   5  2s2.2p5.3p              3D      
 298165.44   3  2s2.2p5.3p              3D      
 299189.96   5  2s2.2p5.3p              1D      
 299885.37   3  2s2.2p5.3p              1P      
 300103.92   5  2s2.2p5.3p              3P      
 300387.82   1  2s2.2p5.3p              3P      
 300507.11   3  2s2.2p5.3p              3P      
 308860.80   1  2s2.2p5.3p              1S      
 330549.35   1  2s2.2p5.(2P*<3/2>).3d   2[1/2]* 
 330636.75   3  2s2.2p5.(2P*<3/2>).3d   2[1/2]* 
 330789.05   5  2s2.2p5.(2P*<3/2>).3d   2[3/2]* 
 331123.04   9  2s2.2p5.(2P*<3/2>).3d   2[7/2]* 
 331186.70   7  2s2.2p5.(2P*<3/2>).3d   2[7/2]* 
 331496.51   5  2s2.2p5.(2P*<3/2>).4s   2[3/2]* 
 331665.59   5  2s2.2p5.(2P*<3/2>).3d   2[5/2]* 
 331707.90   7  2s2.2p5.(2P*<3/2>).3d   2[5/2]* 
 331745.06   3  2s2.2p5.(2P*<3/2>).3d   2[3/2]* 
 331873.93   3  2s2.2p5.(2P*<3/2>).4s   2[3/2]* 
 332710.11   1  2s2.2p5.(2P*<1/2>).4s   2[1/2]* 
 332802.21   5  2s2.2p5.(2P*<1/2>).3d   2[5/2]* 
 332841.93   7  2s2.2p5.(2P*<1/2>).3d   2[5/2]* 
 332962.57   5  2s2.2p5.(2P*<1/2>).3d   2[3/2]* 
 333107.74   3  2s2.2p5.(2P*<1/2>).4s   2[1/2]* 
 333162.94   3  2s2.2p5.(2P*<1/2>).3d   2[3/2]* 
 340239.8    3  2s2.2p5.(2P*<3/2>).4p   2[1/2]  
 341255.6    7  2s2.2p5.(2P*<3/2>).4p   2[5/2]  
 341457.7    5  2s2.2p5.(2P*<3/2>).4p   2[5/2]  
 341907.0    5  2s2.2p5.(2P*<3/2>).4p   2[3/2]  
