#E[cm⁻¹]     g  configuration         term  p  ref
     0.000   5  2s2.2p4                3P   e  NIST
   158.265   3  2s2.2p4                3P   e  NIST
   226.977   1  2s2.2p4                3P   e  NIST
 15867.862   5  2s2.2p4                1D   e  NIST
 33792.583   1  2s2.2p4                1S   e  NIST
 73768.200   5  2s2.2p3.(4S*).3s       5S*  o  NIST
 76794.978   3  2s2.2p3.(4S*).3s       3S*  o  NIST
 86625.757   3  2s2.2p3.(4S*).3p       5P   e  NIST
 86627.778   5  2s2.2p3.(4S*).3p       5P   e  NIST
 86631.454   7  2s2.2p3.(4S*).3p       5P   e  NIST
 88630.587   3  2s2.2p3.(4S*).3p       3P   e  NIST
 88631.146   5  2s2.2p3.(4S*).3p       3P   e  NIST
 88631.303   1  2s2.2p3.(4S*).3p       3P   e  NIST
 95476.728   5  2s2.2p3.(4S*).4s       5S*  o  NIST
 96225.049   3  2s2.2p3.(4S*).4s       3S*  o  NIST
 97420.630   9  2s2.2p3.(4S*).3d       5D*  o  NIST
 97420.716   7  2s2.2p3.(4S*).3d       5D*  o  NIST
 97420.839   5  2s2.2p3.(4S*).3d       5D*  o  NIST
 97420.942   3  2s2.2p3.(4S*).3d       5D*  o  NIST
 97420.991   1  2s2.2p3.(4S*).3d       5D*  o  NIST
 97488.378   3  2s2.2p3.(4S*).3d       3D*  o  NIST
 97488.448   5  2s2.2p3.(4S*).3d       3D*  o  NIST
 97488.538   7  2s2.2p3.(4S*).3d       3D*  o  NIST
 99092.968   3  2s2.2p3.(4S*).4p       5P   e  NIST
 99093.641   5  2s2.2p3.(4S*).4p       5P   e  NIST
 99094.837   7  2s2.2p3.(4S*).4p       5P   e  NIST
 99680.968   3  2s2.2p3.(4S*).4p       3P   e  NIST
 99681.049   5  2s2.2p3.(4S*).4p       3P   e  NIST
 99681.309   1  2s2.2p3.(4S*).4p       3P   e  NIST
101135.407   7  2s2.2p3.(2D*).3s       3D*  o  NIST
101147.526   5  2s2.2p3.(2D*).3s       3D*  o  NIST
101155.422   3  2s2.2p3.(2D*).3s       3D*  o  NIST
