#E[cm⁻¹]     g  configuration       term   p  ref
     0.00    4  2s2.2p3             4S*    o  NIST                   
 26810.55    6  2s2.2p3             2D*    o  NIST                   
 26830.57    4  2s2.2p3             2D*    o  NIST                   
 40468.01    4  2s2.2p3             2P*    o  NIST                   
 40470.00    2  2s2.2p3             2P*    o  NIST                   
119837.21    6  2s.2p4              4P     e  NIST                   
120000.43    4  2s.2p4              4P     e  NIST                   
120082.86    2  2s.2p4              4P     e  NIST                   
165988.46    6  2s.2p4              2D     e  NIST                   
165996.50    4  2s.2p4              2D     e  NIST                   
185235.281   2  2s2.2p2.(3P).3s     4P     e  NIST                   
185340.577   4  2s2.2p2.(3P).3s     4P     e  NIST                   
185499.124   6  2s2.2p2.(3P).3s     4P     e  NIST                   
188888.543   2  2s2.2p2.(3P).3s     2P     e  NIST                   
189068.514   4  2s2.2p2.(3P).3s     2P     e  NIST                   
195710.47    2  2s.2p4              2S     e  NIST                   
203942.288   2  2s2.2p2.(3P).3p     2S*    o  NIST                   
206730.762   2  2s2.2p2.(3P).3p     4D*    o  NIST                   
206786.286   4  2s2.2p2.(3P).3p     4D*    o  NIST                   
206877.865   6  2s2.2p2.(3P).3p     4D*    o  NIST                   
206971.68    6  2s2.2p2.(1D).3s     2D     e  NIST                   
206972.72    4  2s2.2p2.(1D).3s     2D     e  NIST                   
207002.482   8  2s2.2p2.(3P).3p     4D*    o  NIST                   
208346.104   2  2s2.2p2.(3P).3p     4P*    o  NIST                   
208392.258   4  2s2.2p2.(3P).3p     4P*    o  NIST                   
208484.202   6  2s2.2p2.(3P).3p     4P*    o  NIST                   
211522.117   4  2s2.2p2.(3P).3p     2D*    o  NIST                   
211712.732   6  2s2.2p2.(3P).3p     2D*    o  NIST                   
212161.881   4  2s2.2p2.(3P).3p     4S*    o  NIST                   
212593.82    4  2s.2p4              2P     e  NIST                   
212762.25    2  2s.2p4              2P     e  NIST                   
214169.920   2  2s2.2p2.(3P).3p     2P*    o  NIST                   
214229.671   4  2s2.2p2.(3P).3p     2P*    o  NIST                   
228723.84    6  2s2.2p2.(1D).3p     2F*    o  NIST                   
228747.45    8  2s2.2p2.(1D).3p     2F*    o  NIST                   
229947.07    6  2s2.2p2.(1D).3p     2D*    o  NIST                   
229968.44    4  2s2.2p2.(1D).3p     2D*    o  NIST                   
230609.45    2  2s2.2p2.(1S).3s     2S     e  NIST                   
231296.126   4  2s2.2p2.(3P).3d     4F     e  NIST                   
231350.087   6  2s2.2p2.(3P).3d     4F     e  NIST                   
231427.970   8  2s2.2p2.(3P).3d     4F     e  NIST                   
231530.246  10  2s2.2p2.(3P).3d     4F     e  NIST                   
232462.724   6  2s2.2p2.(3P).3d     4P     e  NIST                   
232480.44    2  2s2.2p2.(1D).3p     2P*    o  NIST                   
232527.09    4  2s2.2p2.(1D).3p     2P*    o  NIST                   
232535.949   4  2s2.2p2.(3P).3d     4P     e  NIST                   
232602.492   2  2s2.2p2.(3P).3d     4P     e  NIST                   
232711.642   2  2s2.2p2.(3P).3d     4D     e  NIST                   
232745.981   4  2s2.2p2.(3P).3d     4D     e  NIST                   
232747.562   6  2s2.2p2.(3P).3d     4D     e  NIST                   
232753.816   8  2s2.2p2.(3P).3d     4D     e  NIST                   
232796.298   6  2s2.2p2.(3P).3d     2F     e  NIST                   
232959.210   8  2s2.2p2.(3P).3d     2F     e  NIST                   
233430.53    4  2s2.2p2.(3P).3d     2P     e  NIST                   
233544.59    2  2s2.2p2.(3P).3d     2P     e  NIST                   
234402.797   4  2s2.2p2.(3P).3d     2D     e  NIST                   
234454.634   6  2s2.2p2.(3P).3d     2D     e  NIST                   
238627.46    2  2s2.2p2.(3P).4s     4P     e  NIST                   
238732.65    4  2s2.2p2.(3P).4s     4P     e  NIST                   
238893.96    6  2s2.2p2.(3P).4s     4P     e  NIST                   
240330.01    2  2s2.2p2.(3P).4s     2P     e  NIST                   
240517.35    4  2s2.2p2.(3P).4s     2P     e  NIST                   
245037.29    2  2s2.2p2.(3P).4p     2S*    o  NIST                   
245400.00    6  2s.2p3.(5S*).3s     6S*    o  NIST                   
245768.37    2  2s2.2p2.(3P).4p     4D*    o  NIST                   
245816.70    4  2s2.2p2.(3P).4p     4D*    o  NIST                   
245903.224   6  2s2.2p2.(3P).4p     4D*    o  NIST                   
246029.295   8  2s2.2p2.(3P).4p     4D*    o  NIST                   
246291.822   4  2s2.2p2.(3P).4p     4S*    o  NIST                   
246320.086   2  2s2.2p2.(3P).4p     4P*    o  NIST                   
246455.629   6  2s2.2p2.(3P).4p     4P*    o  NIST                   
246483.317   4  2s2.2p2.(3P).4p     4P*    o  NIST                   
248010.23    4  2s2.2p2.(3P).4p     2D*    o  NIST                   
248186.64    6  2s2.2p2.(3P).4p     2D*    o  NIST                   
248426.41    2  2s2.2p2.(3P).4p     2P*    o  NIST                   
248515.30    4  2s2.2p2.(3P).4p     2P*    o  NIST                   
251222.19    8  2s2.2p2.(1D).3d     2F     e  NIST                   
251224.79    6  2s2.2p2.(1D).3d     2F     e  NIST                   
252608.28   10  2s2.2p2.(1D).3d     2G     e  NIST                   
252609.46    8  2s2.2p2.(1D).3d     2G     e  NIST                   
252987.23    2  2s2.2p2.(1S).3p     2P*    o  NIST                   
252993.39    4  2s2.2p2.(1S).3p     2P*    o  NIST                   
253046.74    4  2s2.2p2.(1D).3d     2D     e  NIST                   
253048.82    6  2s2.2p2.(1D).3d     2D     e  NIST                   
253789.99    2  2s2.2p2.(1D).3d     2P     e  NIST                   
253792.40    4  2s2.2p2.(1D).3d     2P     e  NIST                   
254337.61    4  2s2.2p2.(3P).4d     4F     e  NIST                   
254388.42    6  2s2.2p2.(3P).4d     4F     e  NIST                   
254480.20    8  2s2.2p2.(3P).4d     4F     e  NIST                   
254590.00   10  2s2.2p2.(3P).4d     4F     e  NIST                   
254846.68    2  2s2.2p2.(3P).4d     4D     e  NIST                   
254881.37    4  2s2.2p2.(3P).4d     4D     e  NIST                   
254896.42    6  2s2.2p2.(3P).4d     4D     e  NIST                   
254981.55    4  2s.2p3.(5S*).3s     4S*    o  NIST                   
255019.73    8  2s2.2p2.(3P).4d     4D     e  NIST                   
255105.01    6  2s2.2p2.(3P).4d     4P     e  NIST                   
255142.41    4  2s2.2p2.(3P).4d     4P     e  NIST                   
255163.08    2  2s2.2p2.(3P).4d     4P     e  NIST                   
255173.58    4  2s2.2p2.(3P).4d     2P     e  NIST                   
255281.93    2  2s2.2p2.(3P).4d     2P     e  NIST                   
255302.11    6  2s2.2p2.(3P).4d     2F     e  NIST                   
255466.10    8  2s2.2p2.(3P).4d     2F     e  NIST                   
255622.80    2  2s2.2p2.(1D).3d     2S     e  NIST                   
255689.939   6  2s2.2p2.(3P).4f_D   2[3]*  o  NIST                   
255691.346   8  2s2.2p2.(3P).4f_D   2[3]*  o  NIST                   
255756.131   6  2s2.2p2.(3P).4f_G   2[3]*  o  NIST                   
255759.384   8  2s2.2p2.(3P).4f_G   2[3]*  o  NIST                   
255812.728   4  2s2.2p2.(3P).4f_D   2[2]*  o  NIST                   
255813.472   6  2s2.2p2.(3P).4f_D   2[2]*  o  NIST                   
255827.657  10  2s2.2p2.(3P).4f_G   2[4]*  o  NIST                   
255829.58    8  2s2.2p2.(3P).4f_G   2[4]*  o  NIST                   
255842.91    4  2s2.2p2.(3P).4d     2D     e  NIST                   
255897.59    6  2s2.2p2.(3P).4d     2D     e  NIST                   
255912.32    4  2s2.2p2.(3P).4f_D   2[1]*  o  NIST                   
255912.37    2  2s2.2p2.(3P).4f_D   2[1]*  o  NIST                   
255977.481  12  2s2.2p2.(3P).4f_G   2[5]*  o  NIST                   
255983.584  10  2s2.2p2.(3P).4f_G   2[5]*  o  NIST                   
256083.604   4  2s2.2p2.(3P).4f_F   2[2]*  o  NIST                   
256087.746   6  2s2.2p2.(3P).4f_F   2[2]*  o  NIST                   
256123.231   8  2s2.2p2.(3P).4f_F   2[3]*  o  NIST                   
256125.785   6  2s2.2p2.(3P).4f_F   2[3]*  o  NIST                   
256136.036  10  2s2.2p2.(3P).4f_F   2[4]*  o  NIST                   
256143.187   8  2s2.2p2.(3P).4f_F   2[4]*  o  NIST                   
257695.74    2  2s2.2p2.(3P).5s     4P     e  NIST                   
257799.93    4  2s2.2p2.(3P).5s     4P     e  NIST                   
257965.11    6  2s2.2p2.(3P).5s     4P     e  NIST                   
258411.26    2  2s2.2p2.(3P).5s     2P     e  NIST                   
258606.35    4  2s2.2p2.(3P).5s     2P     e  NIST                   
259287.61    6  2s2.2p2.(1D).4s     2D     e  NIST                   
259288.07    4  2s2.2p2.(1D).4s     2D     e  NIST                   
260686.27    2  2s2.2p2.(3P).5p     2S*    o  NIST                   
260911.96    2  2s2.2p2.(3P).5p     4D*    o  NIST                   
260958.62    4  2s2.2p2.(3P).5p     4D*    o  NIST                   
261044.03    6  2s2.2p2.(3P).5p     4D*    o  NIST                   
261180.59    8  2s2.2p2.(3P).5p     4D*    o  NIST                   
261214.47    2  2s2.2p2.(3P).5p     4P*    o  NIST                   
261261.29    4  2s2.2p2.(3P).5p     4P*    o  NIST                   
