# Extracted from fe1.en.ls.txt from NORAD
#E[cm⁻¹]  g cfg              term                 
49255.6   5 3d6.4s.(6D).4d   a5S   
55117.8   5 3d6.4s.(6D).5d   b5S  
57174.2   5 3d6.4s.(4D).4d   c5S  
57996.2   5 3d6.4s.(6D).6d   d5S  
59344.8   5 3d6.4s.(6D).7d   e5S  
60197.5   5 3d6.4s.(6D).8d   f5S  
60752.8   5 3d6.4s.(6D).9d   g5S  
61132.5   5 3d6.4s.(6D).10d  h5S  
61404.6   5 3d6.4s.(6D).11d  i5S  
15493.8  15 3d7.(4P).4s      a5P  
50301.4  15 3d6.4s.(6D).4d   b5P  
53984.2  15 3d7.(4F).4d      c5P  
55386.6  15 3d6.4s.(6D).5d   d5P  
56831.9  15 3d6.4s.(4D).4d   e5P  
57618.7  15 3d7.(4P).5s      f5P  
58373.7  15 3d6.4s.(6D).6d   g5P  
58497.7  15 3d7.(4F).5d      h5P  
59542.4  15 3d6.4s.(6D).7d   i5P  
60159.1  15 3d7.(4F).5g      j5P  
60310.5  15 3d6.4s.(6D).8d   k5P  
60550.9  15 3d7.(4F).6d      l5P  
60817.5  15 3d6.4s.(6D).9d   m5P  
61050.2  15 3d7.(4F).7d      n5P  
61188.4  15 3d6.4s.(6D).10d  o5P  
61436.4  15 3d6.4s.(6D).11d  p5P  
    0.0  25 3d6.4s2(0S).0s   a5D  
44321.8  25 3d6.4s.(6D).5s   b5D  
48645.5  25 3d6.4s.(6D).4d   c5D  
51013.6  25 3d6.4s.(4D).5s   d5D  
53682.4  25 3d6.4s.(6D).6s   e5D  
53994.1  25 3d7.(4F).4d      f5D  
54648.1  25 3d6.4s.(6D).5d   g5D  
56585.0  25 3d6.4s.(4D).4d   h5D  
57134.7  25 3d6.4s.(6D).7s   i5D  
57899.6  25 3d6.4s.(6D).6d   j5D  
58155.3  25 3d6.4s.(6D).5g   k5D  
58485.6  25 3d7.(4F).5d      l5D  
58914.7  25 3d6.4s.(6D).8s   m5D  
59240.6  25 3d6.4s.(6D).7d   n5D  
59497.4  25 3d6.4s.(6D).6g   o5D  
59937.4  25 3d6.4s.(6D).9s   p5D  
60104.2  25 3d6.4s.(6D).8d   q5D  
60159.1  25 3d7.(4F).5g      r5D  
60306.1  25 3d6.4s.(6D).7g   s5D  
60570.6  25 3d6.4s.(6D).10s  t5D  
60590.4  25 3d7.(4F).6d      u5D  
60674.9  25 3d6.4s.(6D).9d   v5D  
