# Extracted from fe2.en.ls.txt from NORAD
#E[cm⁻¹]  g cfg              term                 
102688.9   8 3d5.4s.(7S).5s  a8S        
129190.5   8 3d5.4s.(7S).6s  b8S        
105171.2  24 3d5.4p2(3H).0s  a8P         # Identified in NIST
 49695.6  24 3d5.4s.(7S).4p  z8P*       
115416.2  24 3d5.4s.(7S).5p  y8P*       
108275.6  40 3d5.4s.(7S).4d  a8D        
 20097.3   6 3d5.4s2(3P).0s  a6S         # Identified in NIST
 84002.8   6 3d6.(5D).4d     b6S        
103092.7   6 3d6.(5D).5d     c6S        
106061.1   6 3d5.4s.(7S).5s  d6S        
112406.1   6 3d6.(5D).6d     e6S        
114795.1   6 3d5.4s.(5S).5s  f6S        
117491.4   6 3d6.(5D).7d     g6S        
120576.1   6 3d6.(5D).8d     h6S        
122589.8   6 3d6.(5D).9d     i6S        
123977.9   6 3d6.(5D)10d     j6S        
 84541.6   6 3d5.4s.(5P).4p  z6S*       
 82996.5  18 3d6.(5D).4d     a6P        
102542.9  18 3d6.(5D).5d     b6P        
109173.3  18 3d5.4p2(3H).0s  c6P         # Identified in NIST
112556.5  18 3d6.(5D).6d     d6P        
117516.6  18 3d6.(5D).7d     e6P        
120600.2  18 3d6.(5D).8d     f6P        
122616.1  18 3d6.(5D).9d     g6P        
124004.3  18 3d6.(5D)10d     h6P        
 40294.4  18 3d6.(5D).4p     z6P*       
 56931.7  18 3d5.4s.(7S).4p  y6P*       
 76786.5  18 3d5.4s.(5S).4p  x6P*       
 85769.6  18 3d5.4s.(5P).4p  w6P*       
 90001.1  18 3d6.(5D).5p     v6P*       
 91511.0  18 3d5.4s.(5D).4p  u6P*       
101902.1  18 3d6.(5D).4f     t6P*       
105966.7  18 3d6.(5D).6p     s6P*       
111724.7  18 3d6.(5D).5f     r6P*       
113886.5  18 3d6.(5D).7p     q6P*       
117082.0  18 3d6.(5D).6f     p6P*       
117850.2  18 3d5.4s.(7S).5p  o6P*       
118577.8  18 3d6.(5D).8p     n6P*       
120324.8  18 3d6.(5D).7f     m6P*       
121186.2  18 3d6.(5D).9p     l6P*       
122427.3  18 3d6.(5D).8f     k6P*       
123005.7  18 3d6.(5D)10p     j6P*       
123869.3  18 3d6.(5D).9f     i6P*       
124277.5  18 3d6.(5D)11p     h6P*       
124900.8  18 3d6.(5D)10f     g6P*       
     0.0  30 3d6.(5D).4s     a6D        
 77857.5  30 3d6.(5D).5s     b6D        
 82406.1  30 3d6.(5D).4d     c6D        
 99523.0  30 3d6.(3H).0s     d6D        
101264.5  30 3d6.(5D).6s     e6D        
102718.5  30 3d6.(5D).5d     f6D        
111320.8  30 3d6.(5D).7s     g6D        
111748.8  30 3d6.(5D).5g     h6D        
112196.5  30 3d6.(5D).6d     i6D        
113432.2  30 3d5.4s.(7S).4d  j6D        
116895.5  30 3d6.(5D).8s     k6D        
117111.7  30 3d6.(5D).6g     l6D        
117400.3  30 3d6.(5D).7d     m6D        
120207.4  30 3d6.(5D).9s     n6D        
120342.3  30 3d6.(5D).7g     o6D        
120530.0  30 3d6.(5D).8d     p6D        
122350.5  30 3d6.(5D)10s     q6D        
122438.3  30 3d6.(5D).8g     r6D        
122561.2  30 3d6.(5D).9d     s6D        
123816.6  30 3d6.(5D)11s     t6D        
123864.9  30 3d6.(5D).9g     u6D        
123934.0  30 3d6.(5D)10d     v6D        
124454.2  30 3d5.4s.(5S).4d  w6D        
124863.5  30 3d6.(5D)12s     x6D        
 36391.1  30 3d6.(5D).4p     z6D*       
 84090.6  30 3d5.4s.(5P).4p  y6D*       
 87716.3  30 3d6.(5D).5p     x6D*       
 91134.6  30 3d5.4s.(5D).4p  w6D*       
101735.3  30 3d6.(5D).4f     v6D*       
105190.9  30 3d6.(5D).6p     u6D*       
106073.2  30 3d5.4s.(5F).4p  t6D*       
111646.7  30 3d6.(5D).5f     s6D*       
113662.6  30 3d6.(5D).7p     r6D*       
117041.4  30 3d6.(5D).6f     q6D*       
118244.2  30 3d6.(5D).8p     p6D*       
120296.2  30 3d6.(5D).7f     o6D*       
121068.8  30 3d6.(5D).9p     n6D*       
122408.7  30 3d6.(5D).8f     m6D*       
122933.2  30 3d6.(5D)10p     l6D*       
123856.1  30 3d6.(5D).9f     k6D*       
124228.1  30 3d6.(5D)11p     j6D*       
124890.9  30 3d6.(5D)10f     i6D*       
 81976.0  42 3d6.(5D).4d     a6F        
102371.8  42 3d6.(5D).5d     b6F        
111731.2  42 3d6.(5D).5g     c6F        
112091.2  42 3d6.(5D).6d     d6F        
117096.3  42 3d6.(5D).6g     e6F        
117342.1  42 3d6.(5D).7d     f6F        
120333.6  42 3d6.(5D).7g     g6F        
120502.6  42 3d6.(5D).8d     h6F        
122433.9  42 3d6.(5D).8g     i6F        
122553.5  42 3d6.(5D).9d     j6F        
123874.8  42 3d6.(5D).9g     k6F        
123961.5  42 3d6.(5D)10d     l6F        
124905.2  42 3d6.(5D)10g     m6F        
 39560.3  42 3d6.(5D).4p     z6F*       
 82425.9  42 3d5.4s.(5G).4p  y6F*       
 88079.6  42 3d5.4s.(5D).4p  x6F*       
 88972.8  42 3d6.(5D).5p     w6F*       
101621.1  42 3d6.(5D).4f     v6F*       
104327.3  42 3d5.4s.(5F).4p  u6F*       
105747.3  42 3d6.(5D).6p     t6F*       
111595.2  42 3d6.(5D).5f     s6F*       
113807.5  42 3d6.(5D).7p     r6F*       
117014.0  42 3d6.(5D).6f     q6F*       
117105.1  42 3d6.(5D).6h     p6F*       
118330.8  42 3d6.(5D).8p     o6F*       
120278.7  42 3d6.(5D).7f     n6F*       
120340.1  42 3d6.(5D).7h     m6F*       
121124.8  42 3d6.(5D).9p     l6F*       
122397.7  42 3d6.(5D).8f     k6F*       
122439.4  42 3d6.(5D).8h     j6F*       
122970.5  42 3d6.(5D)10p     i6F*       
123848.4  42 3d6.(5D).9f     h6F*       
123878.1  42 3d6.(5D).9h     g6F*       
124255.6  42 3d6.(5D)11p     f6F*       
124885.5  42 3d6.(5D)10f     e6F*       
 82954.8  54 3d6.(5D).4d     a6G        
102775.6  54 3d6.(5D).5d     b6G        
111718.1  54 3d6.(5D).5g     c6G        
112287.6  54 3d6.(5D).6d     d6G        
117086.4  54 3d6.(5D).6g     e6G        
117451.9  54 3d6.(5D).7d     f6G        
120325.9  54 3d6.(5D).7g     g6G        
120339.0  54 3d6.(5D).7i     h6G        
120569.5  54 3d6.(5D).8d     i6G        
122429.5  54 3d6.(5D).8g     j6G        
122438.3  54 3d6.(5D).8i     k6G        
122598.5  54 3d6.(5D).9d     l6G        
123871.5  54 3d6.(5D).9g     m6G        
123878.1  54 3d6.(5D).9i     n6G        
123992.2  54 3d6.(5D)10d     o6G        
124901.9  54 3d6.(5D)10g     p6G        
 78939.5  54 3d5.4s.(5G).4p  z6G*       
101563.0  54 3d6.(5D).4f     y6G*       
103189.3  54 3d5.4s.(5F).4p  x6G*       
111577.6  54 3d6.(5D).5f     w6G*       
117004.1  54 3d6.(5D).6f     v6G*       
117104.0  54 3d6.(5D).6h     u6G*       
120273.2  54 3d6.(5D).7f     t6G*       
120337.9  54 3d6.(5D).7h     s6G*       
122393.3  54 3d6.(5D).8f     r6G*       
122438.3  54 3d6.(5D).8h     q6G*       
123845.1  54 3d6.(5D).9f     p6G*       
123877.0  54 3d6.(5D).9h     o6G*       
124883.3  54 3d6.(5D)10f     n6G*       
124907.4  54 3d6.(5D)10h     m6G*       
111715.9  66 3d6.(5D).5g     a6H        
117084.2  66 3d6.(5D).6g     b6H        
120324.8  66 3d6.(5D).7g     c6H        
120339.0  66 3d6.(5D).7i     d6H        
122428.4  66 3d6.(5D).8g     e6H        
122438.3  66 3d6.(5D).8i     f6H        
123870.4  66 3d6.(5D).9g     g6H        
123878.1  66 3d6.(5D).9i     h6H        
124901.9  66 3d6.(5D)10g     i6H        
 80638.3  66 3d5.4s.(5G).4p  z6H*       
101800.0  66 3d6.(5D).4f     y6H*       
111683.0  66 3d6.(5D).5f     x6H*       
117064.5  66 3d6.(5D).6f     w6H*       
117102.9  66 3d6.(5D).6h     v6H*       
120311.6  66 3d6.(5D).7f     u6H*       
120337.9  66 3d6.(5D).7h     t6H*       
122418.6  66 3d6.(5D).8f     s6H*       
122437.2  66 3d6.(5D).8h     r6H*       
122437.2  66 Eqv_st(0S).0s   q6H*       
123863.8  66 3d6.(5D).9f     p6H*       
123877.0  66 3d6.(5D).9h     o6H*       
123878.1  66 3d6.(5D).8k     n6H*       
124896.4  66 3d6.(5D)10f     m6H*       
124907.4  66 3d6.(5D).9k     l6H*       
111742.2  78 3d6.(5D).5g     a6I        
117106.2  78 3d6.(5D).6g     b6I        
120337.9  78 3d6.(5D).7i     c6I        
120340.1  78 3d6.(5D).7g     d6I        
122438.3  78 3d6.(5D).8i     e6I        
122439.4  78 3d6.(5D).8g     f6I        
123877.0  78 3d6.(5D).9g     g6I        
123878.1  78 3d6.(5D).9i     h6I        
124907.4  78 3d6.(5D)10g     i6I        
117102.9  78 3d6.(5D).6h     z6I*       
120336.8  78 3d6.(5D).7h     y6I*       
122437.2  78 3d6.(5D).8h     x6I*       
122438.3  78 3d6.(5D).8k     w6I*       
123877.0  78 3d6.(5D).9h     v6I*       
123878.1  78 3d6.(5D).9k     u6I*       
124907.4  78 3d6.(5D)10k     t6I*       
120339.0  90 3d6.(5D).7i     a6K        
122438.3  90 3d6.(5D).8i     b6K        
123878.1  90 3d6.(5D).9i     c6K        
124907.4  90 3d6.(5D)10i     d6K        
117104.0  90 3d6.(5D).6h     z6K*       
120339.0  90 3d6.(5D).7h     y6K*       
122438.3  90 3d6.(5D).8k     x6K*       
122438.3  90 3d6.(5D).8h     w6K*       
123878.1  90 3d6.(5D).9k     v6K*       
123878.1  90 3d6.(5D).9h     u6K*       
124907.4  90 3d6.(5D)10k     t6K*       
120339.0 102 3d6.(5D).7i     a6L        
122438.3 102 3d6.(5D).8i     b6L        
123878.1 102 3d6.(5D).9i     c6L        
122438.3 102 3d6.(5D).8k     z6L*       
123878.1 102 3d6.(5D).9k     y6L*       
124907.4 102 3d6.(5D)10k     x6L*       
122438.3 114 3d6.(5D).8k     z6M*       
123878.1 114 3d6.(5D).9k     y6M*       
 83845.9   4 3d6.(5D).4d     a4S        
103231.0   4 3d6.(5D).5d     b4S        
112514.8   4 3d6.(5D).6d     c4S        
114865.3   4 3d5.4s.(5S).5s  d4S        
116217.3   4 3d6.(3D).4d     e4S        
117601.1   4 3d6.(5D).7d     f4S        
120662.8   4 3d6.(5D).8d     g4S        
122661.1   4 3d6.(5D).9d     h4S        
124037.2   4 3d6.(5D)10d     i4S        
 44728.9  12 3d6.(5D).4p     z4P*       
 63488.5  12 3d6.(3P).4p     y4P*       
 66422.9  12 3d5.4s.(5S).4p  x4P*       
 74332.8  12 3d6.(3D).4p     w4P*       
 90066.9  12 3d6.(5D).5p     v4P*       
 92560.1  12 3d6.(3P).4p     u4P*       
 97729.9  12 3d5.4s.(5P).4p  t4P*       
101229.4  12 3d5.4s.(5D).4p  s4P*       
101939.4  12 3d6.(5D).4f     r4P*       
105930.5  12 3d5.4s.(3D).4p  q4P*       
106242.2  12 3d6.(5D).6p     p4P*       
108794.7  12 3d6.(3P).5p     o4P*       
111745.5  12 3d6.(5D).5f     n4P*       
113815.2  12 3d6.(5D).7p     m4P*       
115997.8  12 3d5.4s.(3P).4p  l4P*       
117116.1  12 3d6.(5D).6f     k4P*       
118006.0  12 3d5.4s.(3D).4p  j4P*       
118886.1  12 3d6.(5D).8p     i4P*       
119923.1  12 3d6.(3D).5p     h4P*       
120347.8  12 3d6.(5D).7f     g4P*       
121313.5  12 3d6.(5D).9p     f4P*       
122435.0  12 3d6.(5D).8f     e4P*       
123080.3  12 3d6.(5D)10p     d4P*       
123550.0  12 3d5.4s.(5S).5p  c4P*       
123885.8  12 3d6.(5D).9f     b4P*       
124326.9  12 3d6.(5D)11p     a4P*       
 21251.7  12 3d7.(5D).0s     a4P         # Identified in NIST
 27099.6  12 3d6.(3P).4s     b4P        
 57805.2  12 3d6.(3P).4s     c4P        
 59816.7  12 3d5.4s2(3P).0s  d4P         # Identified in NIST
 88180.5  12 3d6.(5D).4d     e4P        
 98213.8  12 3d6.(3P).5s     f4P        
104419.4  12 3d6.(5D).5d     g4P        
105085.6  12 3d6.(3P).4d     h4P        
109100.8  12 3d6.(3F).4d     i4P        
112969.1  12 3d6.(5D).6d     j4P        
115788.2  12 3d5.4p2(3H).0s  k4P         # Identified in NIST
117284.0  12 3d6.(3D).4d     l4P        
118700.7  12 3d6.(5D).7d     m4P        
121079.8  12 3d6.(3P).6s     n4P        
121132.4  12 3d6.(5D).8d     o4P        
122905.8  12 3d6.(5D).9d     p4P        
123235.0  12 3d6.(3P).5d     q4P        
124191.9  12 3d6.(5D)10d     r4P        
 62635.9   4 3d6.(3P).4p     z4S*       
 94799.9   4 3d6.(3P).4p     y4S*       
 99473.6   4 3d5.4s.(5P).4p  x4S*       
108233.9   4 3d6.(3P).5p     w4S*       
116783.6   4 3d5.4s.(3P).4p  v4S*       
125926.9   4 3d6.(3P).6p     u4S*       
126613.8   4 3d6.(3F).4f     t4S*       
 42718.5  20 3d6.(5D).4p     z4D*       
 64599.1  20 3d6.(3P).4p     y4D*       
 65019.4  20 3d6.(3F).4p     x4D*       
 74843.0  20 3d6.(3D).4p     w4D*       
 89450.2  20 3d6.(5D).5p     v4D*       
 91976.3  20 3d6.(3P).4p     u4D*       
 95279.4  20 3d6.(3F).4p     t4D*       
 96901.3  20 3d5.4s.(5P).4p  s4D*       
 98769.1  20 3d5.4s.(5D).4p  r4D*       
101792.3  20 3d6.(5D).4f     q4D*       
105884.4  20 3d6.(5D).6p     p4D*       
106444.1  20 3d5.4s.(3D).4p  o4D*       
107522.8  20 3d5.4s.(3F).4p  n4D*       
109518.9  20 3d6.(3P).5p     m4D*       
111667.6  20 3d6.(5D).5f     l4D*       
112431.4  20 3d6.(3F).5p     k4D*       
113860.2  20 3d6.(5D).7p     j4D*       
114780.8  20 3d5.4s.(3F).4p  i4D*       
116703.4  20 3d5.4s.(3F).4p  h4D*       
117132.5  20 3d6.(5D).6f     g4D*       
117962.1  20 3d6.(5D).8p     f4D*       
118767.6  20 3d5.4s.(3D).4p  e4D*       
119688.3  20 Eqv_st(0S).0s   d4D*       
120321.5  20 3d6.(5D).7f     c4D*       
120886.6  20 3d6.(3D).5p     b4D*       
121323.4  20 3d6.(5D).9p     a4D*       
121747.0  20 3d6.(3P).4f     Z4D*       
122430.6  20 3d6.(5D).8f     Y4D*       
123040.8  20 3d6.(5D)10p     X4D*       
123870.4  20 3d6.(5D).9f     W4D*       
124296.2  20 3d6.(5D)11p     V4D*       
124900.8  20 3d6.(5D)10f     U4D*       
  7925.2  20 3d6.(5D).4s     a4D        
 36034.4  20 3d6.(3D).4s     b4D        
 61355.2  20 3d5.4s2(3P).0s  c4D         # Identified in NIST
 79311.6  20 3d6.(5D).5s     d4D        
 82932.9  20 3d6.(5D).4d     e4D        
101522.4  20 3d6.(5D).6s     f4D        
102912.8  20 3d6.(5D).5d     g4D        
105254.6  20 3d6.(3P).4d     h4D        
108009.0  20 3d6.(3F).4d     i4D        
108888.0  20 3d6.(3D).5s     j4D        
109460.8  20 3d6.(3G).4d     k4D        
111586.4  20 3d6.(5D).7s     l4D        
111751.0  20 3d6.(5D).5g     m4D        
112373.2  20 3d6.(5D).6d     n4D        
116498.2  20 3d6.(3D).4d     o4D        
117014.0  20 3d6.(5D).8s     p4D        
117111.7  20 3d6.(5D).6g     q4D        
117502.3  20 3d6.(5D).7d     r4D        
120258.9  20 3d6.(5D).9s     s4D        
120341.2  20 3d6.(5D).7g     t4D        
120595.8  20 3d6.(5D).8d     u4D        
121635.0  20 3d5.4s.(5S).4d  v4D        
122428.4  20 3d6.(5D)10s     w4D        
122460.3  20 3d6.(5D).8g     x4D        
122632.6  20 3d6.(5D).9d     y4D        
123305.2  20 3d6.(3P).5d     z4D        
123863.8  20 3d6.(5D)11s     A4D        
123883.6  20 3d6.(5D).9g     B4D        
124013.0  20 3d6.(5D)10d     C4D        
124895.3  20 3d6.(5D)12s     D4D        
 41856.0  28 3d6.(5D).4p     z4F*       
 64032.8  28 3d6.(3F).4p     y4F*       
 67352.4  28 3d6.(3G).4p     x4F*       
 74354.7  28 3d6.(3D).4p     w4F*       
 89197.8  28 3d6.(5D).5p     v4F*       
 89592.8  28 3d5.4s.(5G).4p  u4F*       
 96586.4  28 3d6.(3F).4p     t4F*       
 98329.0  28 3d5.4s.(5D).4p  s4F*       
101635.4  28 3d6.(5D).4f     r4F*       
103324.3  28 3d5.4s.(3D).4p  q4F*       
105680.3  28 3d6.(5D).6p     p4F*       
107105.8  28 3d5.4s.(3F).4p  o4F*       
111039.9  28 3d6.(3F).5p     n4F*       
111594.1  28 3d6.(5D).5f     m4F*       
112014.4  28 3d6.(3G).5p     l4F*       
113203.9  28 3d5.4s.(3G).4p  k4F*       
113724.1  28 3d5.4s.(3F).4p  j4F*       
114419.8  28 3d6.(5D).7p     i4F*       
115284.5  28 3d5.4s.(3F).4p  h4F*       
116819.8  28 Eqv_st(0S).0s   g4F*       
117019.5  28 3d6.(5D).6f     f4F*       
117105.1  28 3d6.(5D).6h     e4F*       
118475.7  28 3d6.(5D).8p     d4F*       
119150.6  28 Eqv_st(0S).0s   c4F*       
120118.5  28 3d6.(3D).5p     b4F*       
120322.6  28 3d6.(5D).7f     a4F*       
120340.1  28 3d6.(5D).7h     Z4F*       
121218.0  28 3d6.(5D).9p     Y4F*       
121761.2  28 3d6.(3P).4f     X4F*       
122408.7  28 3d6.(5D).8f     W4F*       
122439.4  28 3d6.(5D).8h     V4F*       
123027.6  28 3d6.(5D)10p     U4F*       
123855.0  28 3d6.(5D).9f     T4F*       
123878.1  28 3d6.(5D).9h     S4F*       
124292.9  28 3d6.(5D)11p     R4F*       
124889.8  28 3d6.(5D)10f     Q4F*       
 10698.3  28 3d7.(5D).0s     a4F         # Identified in NIST
 26948.2  28 3d6.(3F).4s     b4F        
 58386.8  28 3d6.(3F).4s     c4F        
 75705.6  28 3d5.4s2(3P).0s  d4F         # Identified in NIST
 86142.7  28 3d6.(5D).4d     e4F        
102949.0  28 3d6.(3F).5s     f4F        
103206.9  28 3d6.(5D).5d     g4F        
105288.6  28 3d6.(3P).4d     h4F        
107268.2  28 3d6.(3H).4d     i4F        
108720.1  28 3d6.(3F).4d     j4F        
110696.4  28 3d6.(3G).4d     k4F        
111731.2  28 3d6.(5D).5g     l4F        
113974.3  28 3d6.(5D).6d     m4F        
116594.8  28 3d6.(3D).4d     n4F        
117097.4  28 3d6.(5D).6g     o4F        
118100.4  28 3d6.(5D).7d     p4F        
120333.6  28 3d6.(5D).7g     q4F        
120839.4  28 3d6.(5D).8d     r4F        
122435.0  28 3d6.(5D).8g     s4F        
122705.0  28 3d6.(5D).9d     t4F        
123513.7  28 3d6.(3P).5d     u4F        
123874.8  28 3d6.(5D).9g     v4F        
124117.3  28 3d6.(5D)10d     w4F        
124905.2  28 3d6.(5D)10g     x4F        
 61613.1  36 3d6.(3H).4p     z4G*       
 65165.3  36 3d6.(3F).4p     y4G*       
 66494.2  36 3d6.(3G).4p     x4G*       
 91162.1  36 3d6.(3F).4p     w4G*       
 95448.4  36 3d5.4s.(5G).4p  v4G*       
101643.1  36 3d6.(5D).4f     u4G*       
106088.6  36 3d5.4s.(3F).4p  t4G*       
107921.2  36 3d5.4s.(3G).4p  s4G*       
109802.1  36 3d5.4s.(5F).4p  r4G*       
111582.0  36 3d6.(5D).5f     q4G*       
111872.8  36 3d6.(3H).5p     p4G*       
112863.7  36 3d6.(3F).5p     o4G*       
113911.7  36 3d6.(3G).5p     n4G*       
115298.8  36 3d5.4s.(3H).4p  m4G*       
116850.5  36 3d5.4s.(3G).4p  l4G*       
117102.9  36 3d6.(5D).6h     k4G*       
117113.9  36 3d6.(5D).6f     j4G*       
119428.2  36 3d5.4s.(3F).4p  i4G*       
120298.4  36 3d6.(5D).7f     h4G*       
120337.9  36 3d6.(5D).7h     g4G*       
121755.8  36 3d6.(3P).4f     f4G*       
