# from TOPBASE
#E[cm⁻¹] g  cfg       term                 
    0.0  1  2p6.3s2   1S        
43767.1  1  3s.4s     1S        
52976.5  1  3s.5s     1S        
56490.3  1  3s.6s     1S        
58315.6  1  3s.7s     1S        
59359.2  1  3s.8s     1S        
60011.6  1  3s.9s     1S        
60446.7  1  3s.10s    1S        
60751.5  1  3s.11s    1S        
82264.7  3  3p.4p     1P        
89714.5  3  3p.5p     1P        
92802.0  3  3p.6p     1P        
94374.0  3  3p.7p     1P        
95292.3  3  3p.8p     1P        
95876.1  3  3p.9p     1P        
96270.5  3  3p.10p    1P        
96549.5  3  3p.11p    1P        
35537.0  3  3s.3p     1P*        
49922.9  3  3s.4p     1P*        
55056.4  3  3s.5p     1P*        
57532.7  3  3s.6p     1P*        
58888.4  3  3s.7p     1P*        
59707.7  3  3s.8p     1P*        
60239.7  3  3s.9p     1P*        
60604.2  3  3s.10p    1P*        
60864.8  3  3s.11p    1P*        
46467.8  5  3s.3d     1D        
53395.3  5  3s.4d     1D        
56560.7  5  3s.5d     1D        
58309.4  5  3s.6d     1D        
59337.1  5  3s.7d     1D        
59989.2  5  3s.8d     1D        
60427.5  5  3s.9d     1D        
60735.7  5  3s.10d    1D        
80946.6  5  3p.3d     1D*        
89399.8  5  3p.4d     1D*        
92608.4  5  3p.5d     1D*        
94268.1  5  3p.6d     1D*        
95227.9  5  3p.7d     1D*        
95833.7  5  3p.8d     1D*        
96241.1  5  3p.9d     1D*        
96528.2  5  3p.10d    1D*        
90493.0  7  3p.4f     1F        
93129.8  7  3p.5f     1F        
94551.4  7  3p.6f     1F        
95399.7  7  3p.7f     1F        
95946.0  7  3p.8f     1F        
96318.6  7  3p.9f     1F        
96584.0  7  3p.10f    1F        
54980.4  7  3s.4f     1F*        
57495.3  7  3s.5f     1F*        
58873.5  7  3s.6f     1F*        
59700.9  7  3s.7f     1F*        
60236.0  7  3s.8f     1F*        
60602.1  7  3s.9f     1F*        
60863.5  7  3s.10f    1F*        
57572.6  9  3s.5g     1G        
58917.1  9  3s.6g     1G        
59727.8  9  3s.7g     1G        
60254.0  9  3s.8g     1G        
60614.7  9  3s.9g     1G        
60872.6  9  3s.10g    1G        
93255.1  9  3p.5g     1G*        
94622.5  9  3p.6g     1G*        
95443.0  9  3p.7g     1G*        
95974.4  9  3p.8g     1G*        
96338.3  9  3p.9g     1G*        
96598.3  9  3p.10g    1G*        
41464.0  3  3s.4s     3S        
52268.0  3  3s.5s     3S        
56174.3  3  3s.6s     3S        
58155.8  3  3s.7s     3S        
59265.8  3  3s.8s     3S        
59952.0  3  3s.9s     3S        
60406.3  3  3s.10s    3S        
60722.8  3  3s.11s    3S        
58136.3  9  3p2       3P        
84304.1  9  3p.4p     3P        
90366.8  9  3p.5p     3P        
93093.5  9  3p.6p     3P        
94531.7  9  3p.7p     3P        
95387.4  9  3p.8p     3P        
95938.1  9  3p.9p     3P        
96313.2  9  3p.10p    3P        
96580.3  9  3p.11p    3P        
21685.0  9  3s.3p     3P*        
48241.8  9  3s.4p     3P*        
54532.6  9  3s.5p     3P*        
57310.4  9  3s.6p     3P*        
58773.2  9  3s.7p     3P*        
59640.2  9  3s.8p     3P*        
60196.6  9  3s.9p     3P*        
60575.0  9  3s.10p    3P*        
60844.0  9  3s.11p    3P*        
48221.3 15  3s.3d     3D        
54539.6 15  3s.4d     3D        
57273.4 15  3s.5d     3D        
58746.3 15  3s.6d     3D        
59621.8 15  3s.7d     3D        
60183.7 15  3s.8d     3D        
60565.7 15  3s.9d     3D        
60837.1 15  3s.10d    3D        
83855.8 15  3p.3d     3D*        
90239.7 15  3p.4d     3D*        
92994.6 15  3p.5d     3D*        
94469.3 15  3p.6d     3D*        
95347.0 15  3p.7d     3D*        
95910.5 15  3p.8d     3D*        
96293.6 15  3p.9d     3D*        
96565.9 15  3p.10d    3D*        
90486.1 21  3p.4f     3F        
93123.0 21  3p.5f     3F        
94546.4 21  3p.6f     3F        
95396.0 21  3p.7f     3F        
95943.3 21  3p.8f     3F        
96316.6 21  3p.9f     3F        
96582.4 21  3p.10f    3F        
54980.4 21  3s.4f     3F*        
57495.2 21  3s.5f     3F*        
58873.3 21  3s.6f     3F*        
59700.7 21  3s.7f     3F*        
60235.9 21  3s.8f     3F*        
60602.0 21  3s.9f     3F*        
60863.4 21  3s.10f    3F*        
57572.6 27  3s.5g     3G        
58917.0 27  3s.6g     3G        
59727.8 27  3s.7g     3G        
60254.0 27  3s.8g     3G        
60614.7 27  3s.9g     3G        
60872.6 27  3s.10g    3G        
93255.1 27  3p.5g     3G*        
94622.5 27  3p.6g     3G*        
95443.0 27  3p.7g     3G*        
95974.4 27  3p.8g     3G*        
96338.3 27  3p.9g     3G*        
96598.3 27  3p.10g    3G*        
