#   e       g cfg    term p ref
    0.0000  1 2p6.3s2 1S  e NIST
21890.8541  9 3s.3p   3P* o NIST
35051.2640  3 3s.3p   1P* o NIST
41197.4030  3 3s.4s   3S  e NIST 
43503.3330  1 3s.4s   1S  e NIST 
46403.0650  5 3s.3d   1D  e NIST 
47847.7968  9 3s.4p   3P* o NIST
47957.0416 15 3s.3d   3D  e NIST
49346.7290  3 3s.4p   1P* o NIST
51872.5260  3 3s.5s   3S  e NIST
52556.2060  1 3s.5s   1S  e NIST
53134.6420  5 3s.4d   1D  e NIST
54192.2845 15 3s.4d   3D  e NIST
54251.4108  9 3s.5p   3P* o NIST
54676.4380  7 3s.4f   1F* o NIST
54676.7130 21 3s.4f   3F* o NIST
54706.5360  3 3s.5p   1P* o NIST
55891.8000  3 3s.6s   3S  e NIST
56186.8730  1 3s.6s   1S  e NIST
56308.3810  5 3s.5d   1D  e NIST
56968.2386 15 3s.5d   3D  e NIST
57018.3750  9 3s.6p   3P* o NIST
57204.1630  7 3s.5f   1F* o NIST
57204.2740 21 3s.5f   3F* o NIST
57214.9920  3 3s.6p   1P* o NIST
57855.2140  3 3s.7s   3S  e NIST
58023.2460  5 3s.6d   1D  e NIST
58009.4100  1 3s.7s   1S  e NIST
57853.6300  9 3p2     3P  e NIST
58442.8469 15 3s.6d   3D  e NIST
58477.3943  9 3s.7p   3P* o NIST
58575.5270 21 3s.6f   3F* o NIST
58575.4770  7 3s.6f   1F* o NIST
58580.2300  3 3s.7p   1P* o NIST
58962.7390  3 3s.8s   3S  e NIST
59053.5200  1 3s.8s   1S  e NIST
68275.0000  1 3p2     1S  e NIST
