#l  u   ups(T)
1  2   2.01e-2 3.38e-2 7.05e-2 2.44e-1 7.65e-1
1  3   4.27e-2 9.47e-2 1.55e-1 2.28e-1 3.44e-1
1  4   1.06e-4 4.30e-4 1.74e-3 1.31e-2 3.35e-2
1  5   2.39e-7 1.14e-6 3.72e-5 1.02e-3 2.72e-3
1  6   2.62e-2 7.72e-2 1.83e-1 4.30e-1 8.24e-1
1  7   1.84e-2 4.32e-2 9.15e-2 1.92e-1 3.32e-1
1  8   8.61e-3 1.84e-2 3.79e-2 7.78e-2 1.26e-1
1  9   2.56e-3 5.96e-3 1.25e-2 2.38e-2 3.44e-2
1  10  6.73e-5 2.00e-4 4.86e-4 1.02e-3 1.50e-3
2  3   1.76e-2 4.75e-2 1.07e-1 2.73e-1 7.20e-1
2  4   1.09e-2 2.16e-2 3.41e-2 8.07e-2 2.35e-1
2  5   3.97e-5 1.71e-4 8.71e-4 1.06e-2 3.38e-2
2  6   9.05e-3 2.56e-2 5.69e-2 1.31e-1 2.64e-1
2  7   1.51e-2 3.49e-2 7.38e-2 1.64e-1 3.04e-1
2  8   1.72e-2 3.76e-2 7.98e-2 1.67e-1 2.78e-1
2  9   9.57e-3 2.19e-2 4.63e-2 9.65e-2 1.57e-1
2  10  2.31e-3 6.13e-3 1.28e-2 2.46e-2 3.68e-2
3  4   7.72e-3 2.25e-2 5.39e-2 1.46e-1 4.02e-1
3  5   2.11e-4 9.84e-4 4.39e-3 3.24e-2 1.45e-1
3  6   2.56e-3 6.77e-3 1.31e-2 2.54e-2 4.82e-2
3  7   7.91e-3 1.88e-2 4.17e-2 1.00e-1 2.03e-1
3  8   1.50e-2 2.96e-2 5.51e-2 1.08e-1 1.83e-1
3  9   1.51e-2 3.60e-2 7.62e-2 1.45e-1 2.18e-1
3  10  6.07e-3 1.65e-2 3.59e-2 7.63e-2 1.27e-1
4  5   1.86e-4 5.94e-4 2.42e-3 2.06e-2 9.76e-2
4  6   8.99e-7 2.91e-6 8.26e-6 2.46e-5 5.72e-5
4  7   5.55e-3 1.16e-2 2.04e-2 3.72e-2 6.55e-2
4  8   4.43e-3 1.01e-2 2.37e-2 5.78e-2 1.13e-1
4  9   1.21e-2 2.44e-2 4.36e-2 8.00e-2 1.29e-1
4  10  9.67e-3 2.74e-2 5.82e-2 1.05e-1 1.52e-1
5  6   3.66e-9 3.48e-8 2.97e-7 1.40e-6 4.13e-6
5  7   2.85e-8 1.64e-7 1.21e-6 7.80e-6 2.66e-5
5  8   4.49e-3 8.31e-3 1.40e-2 2.56e-2 4.46e-2
5  9   1.93e-3 5.20e-3 1.29e-2 3.07e-2 5.70e-2
5  10  1.89e-3 4.77e-3 9.32e-3 1.84e-2 3.10e-2
6  7   2.47e-2 5.41e-2 1.02e-1 2.00e-1 3.75e-1
6  8   8.89e-4 2.18e-3 5.53e-3 1.46e-2 2.91e-2
6  9   1.10e-5 4.39e-5 1.86e-4 7.27e-4 1.77e-3
6  10  1.30e-8 1.41e-7 2.24e-6 2.71e-5 1.02e-4
7  8   5.53e-2 1.08e-1 1.87e-1 3.27e-1 5.33e-1
7  9   8.57e-4 2.25e-3 5.79e-3 1.56e-2 3.16e-2
7  10  6.36e-6 2.81e-5 1.23e-4 5.27e-4 1.38e-3
8  9   5.73e-2 1.19e-1 2.12e-1 3.70e-1 5.89e-1
8  10  4.44e-4 1.44e-3 3.97e-3 1.12e-2 2.31e-2
9  10  2.93e-2 7.64e-2 1.49e-1 2.78e-1 4.49e-1
