#l   u   ups(T)
 1   2  1.29E-05 1.03E-05 1.20E-05 1.63E-05 2.37E-05 3.50E-05 5.08E-05 7.27E-05 1.02E-04 1.39E-04
 1   3  4.76E-06 6.34E-06 7.98E-06 9.89E-06 1.24E-05 1.53E-05 1.89E-05 2.33E-05 2.85E-05 3.49E-05
 1   4  3.88E-05 4.25E-05 4.53E-05 4.96E-05 5.57E-05 6.23E-05 6.98E-05 7.77E-05 8.51E-05 9.29E-05
 1   5  3.60E-05 4.17E-05 4.35E-05 4.58E-05 4.92E-05 5.46E-05 6.19E-05 7.15E-05 8.20E-05 9.38E-05
 1   6  3.76E-05 3.29E-05 3.28E-05 3.52E-05 3.86E-05 4.29E-05 4.76E-05 5.24E-05 5.77E-05 6.31E-05
 1   7  3.66E-05 3.86E-05 4.11E-05 4.38E-05 4.68E-05 4.95E-05 5.27E-05 5.64E-05 6.10E-05 6.70E-05
 2   3  7.35E-02 8.59E-02 9.46E-02 1.01E-01 1.07E-01 1.14E-01 1.21E-01 1.27E-01 1.33E-01 1.40E-01
 2   4  2.55E-01 2.63E-01 2.56E-01 2.52E-01 2.52E-01 2.53E-01 2.54E-01 2.57E-01 2.59E-01 2.61E-01
 2   5  1.46E-01 1.61E-01 1.58E-01 1.52E-01 1.47E-01 1.45E-01 1.45E-01 1.46E-01 1.49E-01 1.52E-01
 2   6  1.19E-01 9.65E-02 8.70E-02 8.34E-02 8.20E-02 8.13E-02 8.12E-02 8.22E-02 8.27E-02 8.34E-02
 2   7  8.85E-02 8.91E-02 8.79E-02 8.62E-02 8.34E-02 8.13E-02 7.81E-02 7.63E-02 7.42E-02 7.28E-02
 3   4  2.65E-01 3.34E-01 3.83E-01 4.29E-01 4.78E-01 5.35E-01 5.99E-01 6.71E-01 7.49E-01 8.34E-01
 3   5  1.13E-01 1.35E-01 1.44E-01 1.50E-01 1.56E-01 1.61E-01 1.69E-01 1.77E-01 1.87E-01 1.99E-01
 3   6  3.22E-02 3.84E-02 4.41E-02 4.93E-02 5.51E-02 6.17E-02 6.92E-02 7.75E-02 8.62E-02 9.51E-02
 3   7  3.50E-02 4.60E-02 5.16E-02 5.54E-02 5.85E-02 6.16E-02 6.54E-02 6.91E-02 7.38E-02 7.82E-02
 4   5  1.68E-01 2.26E-01 2.68E-01 3.01E-01 3.34E-01 3.66E-01 3.99E-01 4.34E-01 4.71E-01 5.11E-01
 4   6  3.82E-02 4.62E-02 5.51E-02 6.75E-02 8.34E-02 1.02E-01 1.23E-01 1.45E-01 1.67E-01 1.91E-01
 4   7  1.15E-01 1.37E-01 1.59E-01 1.79E-01 1.99E-01 2.19E-01 2.38E-01 2.57E-01 2.76E-01 2.95E-01
 5   6  6.32E-01 9.53E-01 1.09E+00 1.17E+00 1.22E+00 1.27E+00 1.30E+00 1.33E+00 1.37E+00 1.40E+00
 5   7  5.78E-02 1.15E-01 1.65E-01 2.10E-01 2.52E-01 2.92E-01 3.30E-01 3.66E-01 4.00E-01 4.34E-01
 6   7  3.21E-01 6.42E-01 9.45E-01 1.22E+00 1.48E+00 1.73E+00 1.96E+00 2.19E+00 2.41E+00 2.63E+00
 1   8  3.56E-05 4.75E-05 6.15E-05 7.63E-05 9.20E-05 1.08E-04 1.24E-04 1.41E-04 1.60E-04 1.80E-04
 2   8  2.54E-02 4.18E-02 5.96E-02 7.63E-02 9.09E-02 1.03E-01 1.14E-01 1.24E-01 1.34E-01 1.44E-01
 3   8  1.76E-01 1.77E-01 2.06E-01 2.48E-01 2.95E-01 3.43E-01 3.90E-01 4.37E-01 4.81E-01 5.26E-01
 4   8  1.15E+00 1.21E+00 1.30E+00 1.42E+00 1.55E+00 1.69E+00 1.84E+00 1.99E+00 2.15E+00 2.32E+00
 5   8  1.57E+01 1.72E+01 1.83E+01 1.93E+01 2.02E+01 2.11E+01 2.20E+01 2.27E+01 2.36E+01 2.43E+01
 6   8  6.38E+00 6.80E+00 7.13E+00 7.41E+00 7.73E+00 8.04E+00 8.31E+00 8.57E+00 8.86E+00 9.14E+00
 7   8  1.77E+00 1.92E+00 2.02E+00 2.11E+00 2.19E+00 2.28E+00 2.35E+00 2.44E+00 2.53E+00 2.61E+00
