 #lambda[Å] A_ki[s⁻¹] loggf  Acc  Ei[cm⁻¹]   Ek[cm⁻¹]  cfg_i    term_i cfg_k     term_k gi  gk rtype     ref1       ref2
  2151.472  6.1e+06   -1.90   C      0.000  46479.813  3p6.4s2    1S   3p6.4s.8p  1P*    1  3  None           T793n L6097
  2201.414  1.53e+07  -1.477  C      0.000  45425.358  3p6.4s2    1S   3p6.4s.7p  1P*    1  3  None           T793n L6097
  2276.169  3.01e+07  -1.154  C+     0.000  43933.477  3p6.4s2    1S   3p6.4s.np  w1P*   1  3  None     T134n,T654n L6097
  2399.289  1.67e+07  -1.364  C+     0.000  41679.008  3p6.4s2    1S   3p6.4s.6p  1P*    1  3  None     T134n,T654n L6097
  2542.244  1.7e+04   -4.31   D      0.000  39335.322  3p6.4s2    1S   3p6.3d.4p  3P*    1  3  None            T654 None 
  2618.322  1.6e+04   -4.31   D      0.000  38192.392  3p6.4s2    1S   3p6.3d.4p  3D*    1  3  None            T654 None 
  2722.450  2.7e+05   -3.05   D      0.000  36731.615  3p6.4s2    1S   3p6.4s.5p  1P*    1  3  None           T134n L6097
  2995.830  3.67e+07  -0.829  C  15157.901  48537.623  3p6.4s.4p  3P*  3p6.3d2    3P     1  3  None        T539n,LS L6097
  2998.190  2.41e+07  -0.789  C  15210.063  48563.522  3p6.4s.4p  3P*  3p6.3d2    3P     3  5  None        T539n,LS L6097
  3000.520  2.79e+07  -0.947  C  15210.063  48537.623  3p6.4s.4p  3P*  3p6.3d2    3P     3  3  None        T539n,LS L6097
  3001.738  1.58e+08  -0.671  C  15210.063  48524.093  3p6.4s.4p  3P*  3p6.3d2    3P     3  1  None        T539n,LS L6097
  3007.737  7.5e+07   -0.29   C  15315.943  48563.522  3p6.4s.4p  3P*  3p6.3d2    3P     5  5  None        T539n,LS L6097
  3010.083  4.30e+07  -0.756  C  15315.943  48537.623  3p6.4s.4p  3P*  3p6.3d2    3P     5  3  None        T539n,LS L6097
  3103.263  6.2e+05   -2.57   D  15157.901  47382.048  3p6.4s.4p  3P*  3p6.4s.10s 3S     1  3  None           T539n None 
  3108.295  1.0e+06   -2.36   D  15210.063  47382.048  3p6.4s.4p  3P*  3p6.4s.10s 3S     3  3  None           T539n None 
  3118.558  1.7e+06   -2.13   D  15315.943  47382.048  3p6.4s.4p  3P*  3p6.4s.10s 3S     5  3  None           T539n None 
  3136.928  4.1e+06   -1.74   D  15157.901  47036.225  3p6.4s.4p  3P*  3p6.4s.8d  3D     1  3  None           T539n L6097
  3141.696  4.9e+06   -1.44   D  15210.063  47040.007  3p6.4s.4p  3P*  3p6.4s.8d  3D     3  5  None           T539n L6097
  3142.069  3.0e+06   -1.88   D  15210.063  47036.225  3p6.4s.4p  3P*  3p6.4s.8d  3D     3  3  None           T539n None 
  3151.661  8.6e+06   -1.05   D  15315.943  47045.241  3p6.4s.4p  3P*  3p6.4s.8d  3D     5  7  None           T539n L6097
  3152.182  1.8e+06   -1.87   D  15315.943  47040.007  3p6.4s.4p  3P*  3p6.4s.8d  3D     5  5  None           T539n None 
  3152.557  2.2e+05   -3.01   E  15315.943  47036.225  3p6.4s.4p  3P*  3p6.4s.8d  3D     5  3  None        T539n,LS None 
  3165.521  5.3e+05   -2.62   D  15157.901  46748.283  3p6.4s.4p  3P*  3p6.4s.9s  3S     1  3  None           T539n None 
  3170.756  2.0e+06   -2.04   D  15210.063  46748.283  3p6.4s.4p  3P*  3p6.4s.9s  3S     3  3  None           T539n None 
  3181.437  2.9e+06   -1.88   D  15315.943  46748.283  3p6.4s.4p  3P*  3p6.4s.9s  3S     5  3  None           T539n L6097
  3210.884  7.3e+06   -1.47   D  15157.901  46301.973  3p6.4s.4p  3P*  3p6.4s.7d  3D     1  3  None           T539n L6097
  3216.098  1.1e+07   -1.07   D  15210.063  46303.649  3p6.4s.4p  3P*  3p6.4s.7d  3D     3  5  None           T539n L6097
  3216.271  5.1e+06   -1.62   D  15210.063  46301.973  3p6.4s.4p  3P*  3p6.4s.7d  3D     3  3  None           T539n L6097
  3226.835  1.6e+07   -0.76   D  15315.943  46306.059  3p6.4s.4p  3P*  3p6.4s.7d  3D     5  7  None           T539n L6097
  3227.086  4.0e+06   -1.51   D  15315.943  46303.649  3p6.4s.4p  3P*  3p6.4s.7d  3D     5  5  None           T539n L6097
  3227.261  4.2e+05   -2.71   E  15315.943  46301.973  3p6.4s.4p  3P*  3p6.4s.7d  3D     5  3  None        T539n,LS None 
  3270.027  9.4e+05   -2.34   D  15157.901  45738.684  3p6.4s.4p  3P*  3p6.4s.8s  3S     1  3  None           T539n None 
  3275.615  3.0e+06   -1.84   D  15210.063  45738.684  3p6.4s.4p  3P*  3p6.4s.8s  3S     3  3  None           T539n L6097
  3287.015  5.3e+06   -1.59   D  15315.943  45738.684  3p6.4s.4p  3P*  3p6.4s.8s  3S     5  3  None           T539n L6097
  3345.470  1.51e+07  -1.119  C  15157.901  45049.073  3p6.4s.4p  3P*  3p6.4s.6d  3D     1  3  None     T539n,T654n L6097
  3351.166  1.78e+07  -0.824  C  15210.063  45050.419  3p6.4s.4p  3P*  3p6.4s.6d  3D     3  5  None     T539n,T654n L6097
  3351.318  1.11e+07  -1.251  C  15210.063  45049.073  3p6.4s.4p  3P*  3p6.4s.6d  3D     3  3  None     T539n,T654n L6097
  3362.878  2.23e+07  -0.577  C  15315.943  45052.374  3p6.4s.4p  3P*  3p6.4s.6d  3D     5  7  None     T539n,T654n L6097
  3363.099  6.5e+06   -1.26   C  15315.943  45050.419  3p6.4s.4p  3P*  3p6.4s.6d  3D     5  5  None     T539n,T654n L6097
  3363.252  5.9e+05   -2.52   C  15315.943  45049.073  3p6.4s.4p  3P*  3p6.4s.6d  3D     5  3  None           T654n None 
  3469.467  1.3e+06   -2.15   D  15157.901  43980.767  3p6.4s.4p  3P*  3p6.4s.7s  3S     1  3  None           T539n L6097
