 #lambda[Å] A_ki[s⁻¹]  loggf Acc Ei[cm⁻¹]  Ek[cm⁻¹]  cfg_i term_i cfg_k  term_k gi gk rtype   ref1    ref2
   1287.203 2.42e+07  -1.443  C  13650.19  91338.0   3p6.3d  2D   3p6.10f  2F*  4  6  None      u7,LS None 
   1288.210 1.72e+06  -2.590  C  13710.88  91338.0   3p6.3d  2D   3p6.10f  2F*  6  6  None      u7,LS None 
   1288.210 2.58e+07  -1.289  C  13710.88  91338.0   3p6.3d  2D   3p6.10f  2F*  6  8  None      u7,LS None 
   1304.635 3.28e+07  -1.299  C  13650.19  90300.0   3p6.3d  2D   3p6.9f   2F*  4  6  None      u7,LS None 
   1305.668 2.34e+06  -2.445  C  13710.88  90300.0   3p6.3d  2D   3p6.9f   2F*  6  6  None      u7,LS None 
   1305.668 3.52e+07  -1.143  C  13710.88  90300.0   3p6.3d  2D   3p6.9f   2F*  6  8  None      u7,LS None 
   1329.838 4.59e+07  -1.137  C  13650.19  88847.31  3p6.3d  2D   3p6.8f   2F*  4  6  None      u7,LS None 
   1330.912 3.28e+06  -2.282  C  13710.88  88847.31  3p6.3d  2D   3p6.8f   2F*  6  6  None      u7,LS None 
   1330.912 4.91e+07  -0.982  C  13710.88  88847.31  3p6.3d  2D   3p6.8f   2F*  6  8  None      u7,LS None 
   1368.422 6.6e+07   -0.95   C  13650.19  86727.06  3p6.3d  2D   3p6.7f   2F*  4  6  None      u7,LS None 
   1369.559 7.1e+07   -0.80   C  13710.88  86727.06  3p6.3d  2D   3p6.7f   2F*  6  8  None      u7,LS None 
   1369.559 4.73e+06  -2.098  C  13710.88  86727.06  3p6.3d  2D   3p6.7f   2F*  6  6  None      u7,LS None 
   1432.503 1.01e+08  -0.729  C  13650.19  83458.08  3p6.3d  2D   3p6.6f   2F*  4  6  None      u7,LS L7256
   1433.749 1.07e+08  -0.579  C  13710.88  83458.08  3p6.3d  2D   3p6.6f   2F*  6  8  None      u7,LS L7256
   1433.749 7.2e+06   -1.88   C  13710.88  83458.08  3p6.3d  2D   3p6.6f   2F*  6  6  None      u7,LS L7256
   1455.541 1.31e+06  -2.779  C  25191.51  93894.5   3p6.4p  2P*  3p6.16d  2D   2  4  None      u7,LS None 
   1460.278 2.59e+05  -3.480  C  25414.40  93894.5   3p6.4p  2P*  3p6.16d  2D   4  4  None      u7,LS None 
   1460.278 1.55e+06  -2.527  C  25414.40  93894.5   3p6.4p  2P*  3p6.16d  2D   4  6  None      u7,LS None 
   1461.232 1.61e+06  -2.686  C  25191.51  93626.9   3p6.4p  2P*  3p6.15d  2D   2  4  None      u7,LS None 
   1466.007 3.20e+05  -3.385  C  25414.40  93626.9   3p6.4p  2P*  3p6.15d  2D   4  4  None      u7,LS None 
   1466.007 1.92e+06  -2.430  C  25414.40  93626.9   3p6.4p  2P*  3p6.15d  2D   4  6  None      u7,LS None 
   1468.297 2.02e+06  -2.583  C  25191.51  93297.6   3p6.4p  2P*  3p6.14d  2D   2  4  None      u7,LS None 
   1473.119 2.40e+06  -2.329  C  25414.40  93297.6   3p6.4p  2P*  3p6.14d  2D   4  6  None      u7,LS None 
   1473.119 3.99e+05  -3.285  C  25414.40  93297.6   3p6.4p  2P*  3p6.14d  2D   4  4  None      u7,LS None 
   1477.291 2.56e+06  -2.475  C  25191.51  92883.0   3p6.4p  2P*  3p6.13d  2D   2  4  None      u7,LS None 
   1482.171 5.1e+05   -3.17   C  25414.40  92883.0   3p6.4p  2P*  3p6.13d  2D   4  4  None      u7,LS None 
   1482.171 3.04e+06  -2.221  C  25414.40  92883.0   3p6.4p  2P*  3p6.13d  2D   4  6  None      u7,LS None 
   1488.815 3.33e+06  -2.354  C  25191.51  92359.0   3p6.4p  2P*  3p6.12d  2D   2  4  None      u7,LS None 
   1493.772 6.6e+05   -3.05   C  25414.40  92359.0   3p6.4p  2P*  3p6.12d  2D   4  4  None      u7,LS None 
   1493.772 3.95e+06  -2.101  C  25414.40  92359.0   3p6.4p  2P*  3p6.12d  2D   4  6  None      u7,LS None 
   1504.201 4.46e+06  -2.218  C  25191.51  91672.0   3p6.4p  2P*  3p6.11d  2D   2  4  None      u7,LS None 
   1509.261 8.8e+05   -2.92   C  25414.40  91672.0   3p6.4p  2P*  3p6.11d  2D   4  4  None      u7,LS None 
   1509.261 5.3e+06   -1.96   C  25414.40  91672.0   3p6.4p  2P*  3p6.11d  2D   4  6  None      u7,LS None 
   1525.264 6.1e+06   -2.07   C  25191.51  90753.92  3p6.4p  2P*  3p6.10d  2D   2  4  None      u7,LS None 
   1530.447 7.3e+06   -1.81   C  25414.40  90754.80  3p6.4p  2P*  3p6.10d  2D   4  6  None      u7,LS None 
   1530.467 1.22e+06  -2.766  C  25414.40  90753.92  3p6.4p  2P*  3p6.10d  2D   4  4  None      u7,LS None 
   1553.176 1.59e+08  -0.462  C  13650.19  78034.39  3p6.3d  2D   3p6.5f   2F*  4  6  None      u7,LS L7256
   1554.642 1.13e+07  -1.610  C  13710.88  78034.39  3p6.3d  2D   3p6.5f   2F*  6  6  None      u7,LS L7256
   1554.642 1.69e+08  -0.310  C  13710.88  78034.39  3p6.3d  2D   3p6.5f   2F*  6  8  None      u7,LS L7256
   1555.297 8.9e+06   -1.89   C  25191.51  89487.93  3p6.4p  2P*  3p6.9d   2D   2  4  None      u7,LS None 
   1560.678 1.05e+07  -1.638  C  25414.40  89489.13  3p6.4p  2P*  3p6.9d   2D   4  6  None      u7,LS None 
   1560.707 1.75e+06  -2.592  C  25414.40  89487.93  3p6.4p  2P*  3p6.9d   2D   4  4  None      u7,LS None 
   1600.501 1.36e+07  -1.680  C  25191.51  87671.93  3p6.4p  2P*  3p6.8d   2D   2  4  None      u7,LS None 
   1606.185 1.61e+07  -1.428  C  25414.40  87673.72  3p6.4p  2P*  3p6.8d   2D   4  6  None      u7,LS None 
   1606.231 2.69e+06  -2.381  C  25414.40  87671.93  3p6.4p  2P*  3p6.8d   2D   4  4  None      u7,LS None 
   1642.803 1.4e+05   -3.64   D  13650.19  74521.75  3p6.3d  2D   3p6.6p   2P*  4  4  None      u7,LS L7256
   1643.798 1.4e+06   -2.95   D  13650.19  74484.92  3p6.3d  2D   3p6.6p   2P*  4  2  None      u7,LS L7256
   1644.443 1.3e+06   -2.68   D  13710.88  74521.75  3p6.3d  2D   3p6.6p   2P*  6  4  None      u7,LS L7256
   1673.860 2.24e+07  -1.424  C  25191.51  84933.65  3p6.4p  2P*  3p6.7d   2D   2  4  None      u7,LS L7256
   1680.051 2.65e+07  -1.172  C  25414.40  84936.41  3p6.4p  2P*  3p6.7d   2D   4  6  None      u7,LS L7256
   1680.129 4.41e+06  -2.127  C  25414.40  84933.65  3p6.4p  2P*  3p6.7d   2D   4  4  None      u7,LS L7256
   1691.779 9.0e+06   -2.11   C  25191.51  84300.89  3p6.4p  2P*  3p6.8s   2S   2  2  None      u7,LS L7256
   1698.182 1.79e+07  -1.810  C  25414.40  84300.89  3p6.4p  2P*  3p6.8s   2S   4  2  None      u7,LS L7256
