#  lambda[Å] A_ki[s⁻¹] loggf   Acc  Ei[cm⁻¹]   Ek[cm⁻¹]  cfg_i                term_i     cfg_k                  term_k   gi  gk rtype ref1          ref2
  1704.31908   None    None   None     0.000  58674.459  3d6.4s2               a5D       3d6.4s.(4D).5p         5P*       9  7  None None        L11631c80  
  1704.84988   None    None   None   704.007  59360.198  3d6.4s2               a5D       3d6.4s.(4D).5p         5P*       5  3  None None        L11631c80  
  1709.94828   None    None   None     0.000  58481.301  3d6.4s2               a5D       3d6.4s.(4D).5p         5F*       9  9  None None        L11631c80  
  1710.21835   None    None   None   888.132  59360.198  3d6.4s2               a5D       3d6.4s.(4D).5p         5P*       3  3  None None        L11631c80  
  1712.29097   None    None   None   704.007  59105.296  3d6.4s2               a5D       3d6.4s.(4D).5p         5P*       5  5  None None        L11631c80 
  1712.85306   None    None   None   978.074  59360.198  3d6.4s2               a5D       3d6.4s.(4D).5p         5P*       1  3  None None        L11631c80  
  1716.48696   None    None   None   415.933  58674.459  3d6.4s2               a5D       3d6.4s.(4D).5p         5P*       7  7  None None        L11631c80  
  1717.70648   None    None   None   888.132  59105.296  3d6.4s2               a5D       3d6.4s.(4D).5p         5P*       3  5  None None        L11631c80  
  1718.15080   None    None   None   704.007  58906.116  3d6.4s2               a5D       3d6.4s.(4D).5p         5F*       5  5  None None        L11631c80  
  1719.77897   None    None   None     0.000  58147.007  3d6.4s2               a5D       3d6.4s.(4D).5p         5F*       9  11 None None        L11631c80 
  1721.48536   None    None   None   888.132  58977.502  3d6.4s2               a5D       3d6.4s.(4D).5p         5F*       3  3  None None        L11631c80  
  1722.19696   None    None   None   415.933  58481.301  3d6.4s2               a5D       3d6.4s.(4D).5p         5F*       7  9  None None        L11631c80  
  1722.54544   None    None   None   704.007  58757.628  3d6.4s2               a5D       3d6.4s.(4D).5p         5F*       5  7  None None        L11631c80  
  1723.14249   None    None   None     0.000  58033.506  3d6.4s2               a5D       3d6.4s.(4D).5p         5D*       9  7  None None        L11631c80  
  1725.01674   None    None   None   704.007  58674.459  3d6.4s2               a5D       3d6.4s.(4D).5p         5P*       5  7  None None        L11631c80 
  1726.67928   None    None   None   415.933  58330.568  3d6.4s2               a5D       3d6.4s.(4D).5p         5D*       7  5  None None        L11631c80  
  1729.6251    None    None   None   704.007  58520.003  3d6.4s2               a5D       3d6.4s.(4D).5p         5D*       5  3  None None        L11631c80  
  1731.18733   None    None   None     0.000  57763.824  3d6.4s2               a5D       3d6.4s.(4D).5p         5D*       9  9  None None        L11631c80  
