 #lambda[Å] A_ki[s⁻¹]   loggf   Acc  Ei[cm⁻¹] Ek[cm⁻¹]   cfg_i             term_i   cfg_k               term_k    gi  gk rtype  ref1   ref2
   398.630    None      None  None       0.0  250859     3p6                1S      3p5.8d             (1/2,3/2)*  1  3  None   None   L3496
   400.8      None      None  None       0.0  249500     3p6                1S      3p5.8d             (3/2,3/2)*  1  3  None   None  L11572
   403.9      None      None  None       0.0  247600     3p6                1S      3p5.8d             (3/2,5/2)*  1  3  None   None  L11572
   405.5    1.3e+09    -1.02  None       0.0  246600     3p6                1S      3p5.7d             (1/2,3/2)*  1  3  None  T6166  L11572
   406.8      None      None  None       0.0  245800     3p6                1S      3p5.8s             (1/2,1/2)*  1  3  None   None  L11572
   408.2      None      None  None       0.0  245000     3p6                1S      3p5.7d             (3/2,5/2)*  1  3  None   None  L11572
   409.7      None      None  None       0.0  244100     3p6                1S      3p5.7d             (3/2,3/2)*  1  3  None   None  L11572
   410.3      None      None  None       0.0  243700     3p6                1S      3p5.8s             (3/2,1/2)*  1  3  None   None  L11572
   411.7    2.6e+09    -0.70  None       0.0  242900     3p6                1S      3p5.6d             (1/2,3/2)*  1  3  None  T6166  L11572
   414.9    2.2e+08    -1.77  None       0.0  241000     3p6                1S      3p5.7s             (1/2,1/2)*  1  3  None  T6166  L11572
   414.9      None      None  None       0.0  241000     3p6                1S      3p5.6d             (3/2,5/2)*  1  3  None   None  L11572
   417.4      None      None  None       0.0  239600     3p6                1S      3p5.6d             (3/2,3/2)*  1  3  None   None  L11572
   418.4      None      None  None       0.0  239000     3p6                1S      3p5.7s             (3/2,1/2)*  1  3  None   None  L11572
   421.9    4.0e+09    -0.49  None       0.0  237000     3p6                1S      3p5.5d             (1/2,3/2)*  1  3  None  T6166  L11572
   427.9      None      None  None       0.0  233700     3p6                1S      3p5.5d             (3/2,5/2)*  1  3  None   None  L11572
   429.9      None      None  None       0.0  232600     3p6                1S      3p5.6s             (1/2,1/2)*  1  3  None   None  L11572
   431.6      None      None  None       0.0  231700     3p6                1S      3p5.5d             (3/2,3/2)*  1  3  None   None  L11572
   433.8      None      None  None       0.0  230500     3p6                1S      3p5.6s             (3/2,1/2)*  1  3  None   None  L11572
   456.6      None      None  None       0.0  218992     3p6                1S      3p5.4d             3D*         1  3  None   None  L11572
   464.2506   None      None  None       0.0  215400.9   3p6                1S      3p5.4d             3P*         1  3  None   None  L11572
   465.0847 1.0e+09    -1.01  None       0.0  215014.6   3p6                1S      3p5.(2P*<1/2>).5s  2[1/2]*     1  3  None  T6166   L3496
   469.5087   None      None  None       0.0  212988.6   3p6                1S      3p5.(2P*<3/2>).5s  2[3/2]*     1  3  None   None  L11572
   495.1534 6.7e+10     0.87  None       0.0  201957.6   3p6                1S      3p5.3d             1P*         1  3  None  T6798  L12188
   554.1735 1.06e+07   -2.834 None       0.0  180448.9   3p6                1S      3p5.3d             3D*         1  3  None  T6798  L12188
   600.7547 2.3e+09    -0.43  None       0.0  166457.3   3p6                1S      3p5.4s             1P*         1  3  None  T6798  L12188
