#lambda[Å] A_ki[s⁻¹] loggf Acc   Ei[cm⁻¹]    Ek[cm⁻¹] cfg_i     term_i cfg_k                term_k    gi  gk rtype  ref1     ref2
   177.23  5.1e+09  -1.1    E        0.00  564200     2s2.2p6     1S   2s.2p6.3p              1P*      1  3  None  T6036c79 L4668
   300.153 1.2e+09  -1.3    D        0.00  333162.94  2s2.2p6     1S   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  1  3  None     T7663  L914
   300.203 4.0e+08  -1.8    D        0.00  333107.74  2s2.2p6     1S   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  1  3  None  T7663c80  L914
   301.303 3.62e+08 -1.83   D        0.00  331873.93  2s2.2p6     1S   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  1  3  None  T7663c79  L914
   301.436 3.3e+09  -0.87   D+       0.00  331745.06  2s2.2p6     1S   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  1  3  None     T6036  L914
   302.447 5.95e+07 -2.611  B        0.00  330636.75  2s2.2p6     1S   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  1  3  None     T7663  L914
   333.218 1.60e+04  None   B        0.00  300103.92  2s2.2p6     1S   2s2.2p5.3p             3P       1  5   E2      T7663  None
   334.236 4.50e+04  None   B+       0.00  299189.96  2s2.2p6     1S   2s2.2p5.3p             1D       1  5   E2      T7663  None
   335.981 6.40e+03  None   C+       0.00  297635.61  2s2.2p6     1S   2s2.2p5.3p             3D       1  5   E2      T7663  None
   372.075 3.13e+09 -0.710  B+       0.00  268762.96  2s2.2p6     1S   2s2.2p5.3s             1P*      1  3  None     T6577  L914
   376.379 1.70e+08 -1.967  C        0.00  265689.62  2s2.2p6     1S   2s2.2p5.3s             3P*      1  3  None     T6577  L914
  2316.360 1.05e+07 -2.073  C+  265689.62  308860.80  2s2.2p5.3s  3P*  2s2.2p5.3p             1S       3  1  None c49,T6036  L914
  2493.900 4.15e+08 -0.412  A   268762.96  308860.80  2s2.2p5.3s  1P*  2s2.2p5.3p             1S       3  1  None c49,T6036  L914
  2503.592 1.2e+07  -1.5    E   293220.33  333162.94  2s2.2p5.3p  3S   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  3  3  None  T6036c80  L914
  2507.057 2.7e+07  -1.1    C+  293220.33  333107.74  2s2.2p5.3p  3S   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  3  3  None     T7663  L914
  2516.214 2.25e+07 -0.970  C+  293220.33  332962.57  2s2.2p5.3p  3S   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  3  5  None     T6036  L914
  2526.409 2.78e+05 -2.876  D   293220.33  332802.21  2s2.2p5.3p  3S   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  3  5  None     T7663  L914
  2532.301 8.44e+07 -1.092  C+  293220.33  332710.11  2s2.2p5.3p  3S   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  3  1  None     T7663  L914
  2587.081 5.80e+07 -0.758  C   293220.33  331873.93  2s2.2p5.3p  3S   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  3  3  None  T7663c79  L914
  2595.735 3.71e+07 -0.950  B   293220.33  331745.06  2s2.2p5.3p  3S   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  3  3  None     T7663  L914
  2601.101 4.9e+05  -2.6    E   293220.33  331665.59  2s2.2p5.3p  3S   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  3  5  None  T6036c79  L914
  2612.591 2.2e+08   0.042  E   293220.33  331496.51  2s2.2p5.3p  3S   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  3  5  None  T7663c78  L914
  2661.789 1.65e+08 -0.057  B+  293220.33  330789.05  2s2.2p5.3p  3S   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  3  5  None     T6036  L914
  2672.623 2.64e+08 -0.073  B+  293220.33  330636.75  2s2.2p5.3p  3S   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  3  3  None     T6036  L914
  2678.881 3.01e+08 -0.489  B   293220.33  330549.35  2s2.2p5.3p  3S   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  3  1  None     T6036  L914
  2800.042 2.64e+06 -1.811  D+  297248.82  332962.57  2s2.2p5.3p  3D   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  7  5  None     T6036  L914
  2809.532 1.5e+07  -0.89   E   297248.82  332841.93  2s2.2p5.3p  3D   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  7  7  None  T7663c79  L914
  2810.348 5.95e+07 -0.675  A   264924.32  300507.11  2s2.2p5.3s  3P*  2s2.2p5.3p             3P       5  3  None     T7663  L914
  2812.671 1.01e+06 -2.222  D+  297248.82  332802.21  2s2.2p5.3p  3D   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  7  5  None     T7663  L914
  2814.735 6.9e+06  -1.6    E   297635.61  333162.94  2s2.2p5.3p  3D   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  5  3  None  T7663c80  L914
  2819.115 1.2e+07  -1.4    E   297635.61  333107.74  2s2.2p5.3p  3D   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  5  3  None  T7663c80  L914
  2830.700 3.36e+07 -0.695  B   297635.61  332962.57  2s2.2p5.3p  3D   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  5  5  None     T6036  L914
  2840.399 5.1e+07  -0.36   E   297635.61  332841.93  2s2.2p5.3p  3D   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  5  7  None  T7663c79  L914
  2842.556 8.92e+07 -0.268  A   264924.32  300103.92  2s2.2p5.3s  3P*  2s2.2p5.3p             3P       5  5  None     T7663  L914
